,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,.geo,landsat_time_utc,scene,temp_avg,t_stdev,depth_avg,d_stdev,temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
34,1_1_2_1_LT05_013030_20100618,130.6833,5.0,63.26366,0.977941145456293,1.0160488,40347.64133240741,1276874611120.0,0.9899213515875328,16992,1.4209265424962814,23.7194794028792,15.299719876521293,15.185711004264824,8.490517162612033,1.7890826325914602,26.7363395690918,40347.75,1276884000000,2.3600006103515625,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-06-18 15:23:31.120000+00:00,LT05_013030_20100618,17.794,0.3374479383714041,1.2,0.25819888974716115,17.834999999999997,10.0,17.77,17.77,,1.0,17.43,17.43,,1.0,17.24,17.24,,1.0,17.41,17.41,,1.0,18.019999999999996,18.014999999999997,0.16991174179555965,6.0,,,,,,,,,,,,,,,,
35,1_2_1_LE07_013030_20100712,131.44896,25.0,61.67454,0.977941145456293,1.0165741,40371.64243958333,1278948306780.0,0.2649577628896009,4548,4.906114749978051,25.417300439200336,21.46005495260699,21.3274694070541,14.381087032866628,0.894730316329786,28.325458526611328,40371.75,1278957600000,2.430000305175781,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-07-12 15:25:06.780000+00:00,LE07_013030_20100712,24.842000000000002,0.5472517194531641,1.2,0.25819888974716115,25.06,10.0,25.24,25.24,,1.0,23.68,23.68,,1.0,25.04,25.04,,1.0,23.98,23.98,,1.0,25.1,25.08,0.11366617790706597,6.0,,,,,,,,,,,,,,,,
36,1_2_1_LE07_013030_20100829,144.92148,0.0,51.27657,0.977941145456293,1.0098616,40419.642474189815,1283095509770.0,0.8601806000582581,14765,8.01596553635614,26.40333429609345,19.999637038906865,19.75565615533077,18.700293521701507,0.7283517679031215,38.72343063354492,40419.75,1283104800000,1.579998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-08-29 15:25:09.770000+00:00,LE07_013030_20100829,20.823,0.22296237849068223,1.2,0.25819888974716115,20.784999999999997,10.0,21.34,21.34,,1.0,20.99,20.99,,1.0,20.48,20.48,,1.0,20.79,20.79,,1.0,20.769999999999996,20.771666666666665,0.05946988033170042,6.0,,,,,,,,,,,,,,,,
37,1_1_2_1_LT05_013030_20100906,146.95941,28.0,48.65948,0.977941145456293,1.0079366,40427.641073032406,1283786588710.0,0.6280221380716574,10780,6.222302831268728,20.194342063974563,16.91193159405339,17.03087580584349,9.471837908084872,0.9178638565414576,41.340518951416016,40427.75,1283796000000,2.1100006103515625,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-09-06 15:23:08.710000+00:00,LT05_013030_20100906,20.098,0.9527830579704685,1.2,0.25819888974716115,19.445,10.0,21.34,21.34,,1.0,21.66,21.66,,1.0,20.48,20.48,,1.0,21.130000000000003,21.130000000000003,,1.0,19.4,19.395,0.04806245936279207,6.0,,,,,,,,,,,,,,,,
38,1_2_1_LE07_013030_20100914,150.319,61.0,46.316654,0.977941145456293,1.00586,40435.64248819444,1284477910980.0,0.4057092921642878,6964,3.109766422043368,16.561109509037504,14.082404384276792,14.381980251731871,6.993103534155401,1.370056716695034,43.68334579467773,40435.75,1284487200000,1.629998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-09-14 15:25:10.980000+00:00,LE07_013030_20100914,18.005,0.6839793694094722,1.2,0.25819888974716115,17.509999999999998,10.0,19.06,19.06,,1.0,18.72,18.72,,1.0,18.69,18.69,,1.0,18.69,18.69,,1.0,17.485,17.481666666666666,0.029944392908635646,6.0,,,,,,,,,,,,,,,,
39,1_1_2_1_LT05_013030_20101008,156.24246,3.0,37.99199,0.977941145456293,0.9991087,40459.640914351854,1286551375000.0,1.0,17165,4.2356575092537385,14.720473399380916,12.011891630225978,11.887395146040978,11.408440960199968,0.3025103459871684,52.00801086425781,40459.75,1286560800000,1.95,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-10-08 15:22:55+00:00,LT05_013030_20101008,14.136666666666668,0.07118052168020858,1.0,0.0,14.120000000000001,6.0,,,,,,,,,,,,,,,,,14.120000000000001,14.136666666666665,0.07118052168020825,6.0,,,,,,,,,,,,,,,,
41,1_2_1_LE07_013030_20110512,139.9514,25.0,59.865025,0.977941145456293,1.0102063,40675.64338726852,1305213988660.0,0.7769297990096126,13336,5.244009274055481,18.699972572653092,9.746802524580206,9.320390776789312,6.993317757375619,1.2449032578816346,30.13497543334961,40675.75,1305223200000,1.4299987792968751,"{""type"":""MultiPoint"",""coordinates"":[]}",2011-05-12 15:26:28.660000+00:00,LE07_013030_20110512,9.549999999999999,0.1126942766958461,0.8333333333333334,0.5773502691896258,9.61,3.0,,,,,,,,,,,,,,,,,9.61,9.549999999999999,0.11269427669584556,3.0,,,,,,,,,,,,,,,,
42,1_1_2_1_LT05_013030_20110621,129.85707,3.0,63.015804,0.977941145456293,1.0162461,40715.64040833333,1308669731280.0,1.0,17165,4.390229169061911,23.28107134707575,17.310733886529942,17.03089155346847,16.111920849438686,0.8395821502509747,26.98419570922852,40715.75,1308679200000,2.129998779296875,"{""type"":""MultiPoint"",""coordinates"":[]}",2011-06-21 15:22:11.280000+00:00,LT05_013030_20110621,19.98,0.2213029597633077,0.8111111111111111,0.46755867130351786,19.959999999999997,9.0,,,,,20.51,20.51,,1.0,20.0,20.0,,1.0,19.67,19.67,,1.0,19.959999999999997,19.939999999999998,0.030983866769658745,6.0,,,,,,,,,,,,,,,,
43,1_2_1_LE07_013030_20110629,131.19823,49.0,63.20413,0.977941145456293,1.0166218,40723.64334328704,1309361184860.0,0.8214389746577337,14100,8.878992226060175,23.387659272402253,17.849626173164413,17.636636273323525,16.020116811274146,0.6366418662160522,26.79587173461914,40723.75,1309370400000,2.3600006103515625,"{""type"":""MultiPoint"",""coordinates"":[]}",2011-06-29 15:26:24.860000+00:00,LE07_013030_20110629,20.508888888888887,0.7899437392062236,0.8111111111111111,0.46755867130351786,20.97,9.0,,,,,18.89,18.89,,1.0,19.51,19.51,,1.0,20.31,20.31,,1.0,20.97,20.978333333333335,0.0483390801181277,6.0,,,,,,,,,,,,,,,,
44,1_1_2_1_LT05_013030_20110707,129.69344,16.0,61.868656,0.977941145456293,1.0166934,40731.64033854166,1310052125250.0,0.3514127585202447,6032,6.526170796721255,21.52070746398741,18.292821977893045,18.39476640300562,11.409573127095394,0.8566196960350799,28.13134384155273,40731.75,1310061600000,1.25,"{""type"":""MultiPoint"",""coordinates"":[]}",2011-07-07 15:22:05.250000+00:00,LT05_013030_20110707,23.086666666666662,0.48314076623692204,0.8111111111111111,0.46755867130351786,23.04,9.0,,,,,24.2,24.2,,1.0,22.31,22.31,,1.0,22.97,22.97,,1.0,23.04,23.05,0.02449489742783242,6.0,,,,,,,,,,,,,,,,
