,system:index,availablePixels_count,cloudcover_pct_scene,datetime_landsat,esd_au_scene,lakeCoverage_pct,sunazi_deg_scene,sunelev_deg_scene,surface_temp_kurtosis,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,.geo,landsat_time_utc,scene,is_temp_avg,is_temp_stdev,is_depth_avg,is_depth_stdev,is_temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
27,1_1_2_1_LT05_013030_20101008,17194,3.0,1286551375004.0,0.9991087,100.16894844159629,156.24245596,37.99198895,20.30746936094077,20.87317058000002,15.15276960649972,15.167510933692895,14.430202880000024,15.030672686891576,15.167510933692895,3.133556563888352,0.4333035632139896,"{""type"":""MultiPoint"",""coordinates"":[]}",2010-10-08 15:22:55.004000+00:00,LT05_013030_20101008,14.136666666666668,0.07118052168020858,1.0,0.0,14.120000000000001,6.0,,,,,,,,,,,,,,,,,14.120000000000001,14.136666666666665,0.07118052168020825,6.0,,,,,,,,,,,,,,,,
28,1_1_2_1_LT05_013030_20110621,17194,3.0,1308669731277.0,1.0162461,100.16894844159629,129.85707336,63.01580496,6.601641795722353,34.47347216000003,21.297258538757056,21.069869700098973,19.70762576000004,20.319585723691794,21.67555318255876,2.000944351527589,1.2209504092248848,"{""type"":""MultiPoint"",""coordinates"":[]}",2011-06-21 15:22:11.277000+00:00,LT05_013030_20110621,19.98,0.2213029597633077,0.8111111111111111,0.46755867130351786,19.959999999999997,9.0,,,,,20.51,20.51,,1.0,20.0,20.0,,1.0,19.67,19.67,,1.0,19.959999999999997,19.939999999999998,0.030983866769658745,6.0,,,,,,,,,,,,,,,,
29,1_1_2_1_LT05_013030_20110707,4617,16.0,1310052125247.0,1.0166933,26.8977570637926,129.69343806,61.86865653,1.8721504178360204,28.416740720000007,22.315646590565205,21.93867256179368,20.063099840000007,21.794385930124463,22.5538100497908,1.0669831586773757,0.9568916728365692,"{""type"":""MultiPoint"",""coordinates"":[]}",2011-07-07 15:22:05.247000+00:00,LT05_013030_20110707,23.086666666666662,0.48314076623692204,0.8111111111111111,0.46755867130351786,23.04,9.0,,,,,24.2,24.2,,1.0,22.31,22.31,,1.0,22.97,22.97,,1.0,23.04,23.05,0.02449489742783242,6.0,,,,,,,,,,,,,,,,
30,1_1_2_1_LT05_013030_20110824,17136,62.0,1314199299563.0,1.0110274,99.83105155840371,141.81414762,52.36918784,1.2610950770944376,19.35215168000002,12.78526794435549,12.693927918981885,5.864644760000033,11.824221920150928,13.8307805731257,0.2405538908805539,1.4869212763908215,"{""type"":""MultiPoint"",""coordinates"":[]}",2011-08-24 15:21:39.563000+00:00,LT05_013030_20110824,22.34222222222222,0.05262551134615647,0.8111111111111111,0.46755867130351786,22.34,9.0,,,,,22.33,22.33,,1.0,22.47,22.47,,1.0,22.3,22.3,,1.0,22.34,22.33,0.02449489742783255,6.0,,,,,,,,,,,,,,,,
31,1_1_2_1_LT05_013030_20111011,17194,1.0,1318346456341.0,0.9983227,100.16894844159629,156.3268844,36.93492219,20.548212288962787,21.26624288000005,15.83316048705032,15.866067077757451,15.185585300000014,15.715880787563492,15.866067077757451,3.326027657243485,0.4174710355247377,"{""type"":""MultiPoint"",""coordinates"":[]}",2011-10-11 15:20:56.341000+00:00,LT05_013030_20111011,16.54,0.024494897427832712,0.5,0.0,16.55,6.0,,,,,,,,,,,,,,,,,16.55,16.540000000000003,0.02449489742783255,6.0,,,,,,,,,,,,,,,,
32,1_1_2_1_LT05_013030_20111112,16751,32.0,1321111226133.0,0.9898324,97.58811535100496,160.39132198,26.82625862,5.28209489169843,9.94917866000003,8.095841007233396,8.145172254736494,3.666857900000025,8.005103371673584,8.569070875809793,-1.7281603139334811,0.5857287737144973,"{""type"":""MultiPoint"",""coordinates"":[]}",2011-11-12 15:20:26.133000+00:00,LT05_013030_20111112,9.473333333333334,0.005163977794943112,1.5,0.0,9.47,6.0,,,,,,,,,,,,,,,,,,,,,9.47,9.473333333333334,0.00516397779494325,6.0,,,,,,,,,,,,
33,1_2_1_LE07_013030_20060717,15000,8.0,1153149759882.0,1.0163383,87.3871249635887,131.03422466,60.56458205,10.263365091200402,34.93148684000005,26.472195728019795,26.19366963626087,24.67400882000004,26.19366963626087,26.691309184801764,2.598120091363987,0.9541585318865416,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-07-17 15:22:39.882000+00:00,LE07_013030_20060717,24.41,,1.5,,24.41,1.0,24.41,24.41,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1_2_1_LE07_013030_20060802,14420,22.0,1154532155041.0,1.0148086,84.00815613166327,134.79728016,57.68323206,4.453793295965487,33.14044436000006,25.51152493421806,25.30655945509941,22.67446712000003,24.660855030643784,25.952885934215946,1.6025522615265122,1.1862608072433232,"{""type"":""MultiPoint"",""coordinates"":[]}",2006-08-02 15:22:35.041000+00:00,LE07_013030_20060802,26.49,,1.5,,26.49,1.0,26.49,26.49,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1_2_1_LE07_013030_20070805,14720,0.0,1186327379576.0,1.0144331,85.75589863093505,135.72512738,57.13146774,16.806775584396743,30.14625884000003,24.59643291190254,24.65464531647653,21.919084699999985,24.31121961639217,24.65464531647653,2.6091814127453365,0.4778426498976465,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-08-05 15:22:59.576000+00:00,LE07_013030_20070805,24.880000000000003,0.5266877632905476,1.5,0.0,24.965,4.0,25.07,25.07,,1.0,25.42,25.42,,1.0,24.17,24.17,,1.0,24.86,24.86,,1.0,,,,,,,,,,,,,,,,,,,,
42,1_2_1_LE07_013030_20070906,13487,39.0,1189092165709.0,1.0079926,78.57267695892806,146.59894761,48.63549834,3.7494499284519103,23.467447760000027,18.853816620911083,18.654572550969448,16.361384180000016,18.654572550969448,19.17777935412522,0.6183612710843835,0.5184138469305797,"{""type"":""MultiPoint"",""coordinates"":[]}",2007-09-06 15:22:45.709000+00:00,LE07_013030_20070906,20.607,0.17068814968955695,0.9,0.5163977794943222,20.675,10.0,20.68,20.68,,1.0,20.67,20.67,,1.0,20.16,20.16,,1.0,20.47,20.47,,1.0,20.69,20.68166666666667,0.013291601358250929,6.0,,,,,,,,,,,,,,,,
