"date","LSmission","month","doy","temp_avg","t_stdev","depth_avg","d_stdev","temp_med","insitu_count","HerrickCoveSouth_median","HerrickCoveSouth_mean","HerrickCoveSouth_std","HerrickCoveSouth_count","Newbury_median","Newbury_mean","Newbury_std","Newbury_count","NorthSunapeeHarbor_median","NorthSunapeeHarbor_mean","NorthSunapeeHarbor_std","NorthSunapeeHarbor_count","SouthOfTheFells_median","SouthOfTheFells_mean","SouthOfTheFells_std","SouthOfTheFells_count","loon_median","loon_mean","loon_std","loon_count","harbor_median","harbor_mean","harbor_std","harbor_count","GeorgesMills_median","GeorgesMills_mean","GeorgesMills_std","GeorgesMills_count","HerrickCove_median","HerrickCove_mean","HerrickCove_std","HerrickCove_count","StateBeach_median","StateBeach_mean","StateBeach_std","StateBeach_count","system:index","cloud_cover","earthsun_d","l_exceltime","pixel_count","sunazi","sunelev","surface_temp_max","surface_temp_mean","surface_temp_median","surface_temp_min","surface_temp_p25","surface_temp_p75","surface_temp_skew","surface_temp_stdDev","vapor_source",".geo","collection","freeze_QAQC","temp_spread","spread_QAQC","IQR","IQR_QAQC"
2010-08-29,"LS 7","08","241",21.538,0.358571238854057,1.2,0.258198889747161,21.725,10,21.67,21.67,NA,1,21.49,21.49,NA,1,20.97,20.97,NA,1,20.79,20.79,NA,1,21.74,21.7433333333333,0.0216024689946905,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20100829",0,1.0098616,40419.642474213,14770,144.92147483,51.2765677,32.36455382,21.8529374521882,21.7647373672882,20.52795056,21.356299938511,22.1732389861498,3.01197260389448,1.13509164652361,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.9,"F",0.800000000000001,"P"
2010-09-06,"LS 5","09","249",20.533,0.844104390595277,1.2,0.258198889747161,19.975,10,21.84,21.84,NA,1,21.99,21.99,NA,1,20.97,20.97,NA,1,20.96,20.96,NA,1,19.94,19.9283333333333,0.0538206899497439,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20100906",28,1.0079366,40427.6410730671,14013,146.95940977,48.65947916,25.96260236,20.5687717832755,20.7302886920732,16.5938095400001,20.1677607516064,21.1431994823613,-0.716717353415646,0.871840579800551,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",9.4,"P",0.900000000000002,"P"
2010-09-14,"LS 7","09","257",18.24,0.855258245599927,1.2,0.258198889747161,17.635,10,19.54,19.54,NA,1,19.04,19.04,NA,1,19.51,19.51,NA,1,18.69,18.69,NA,1,17.605,17.6033333333333,0.0338624669312027,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20100914",61,1.00586,40435.6424882407,8017,150.31899714,46.3166553,22.04213342,17.8233582849738,18.3313615469741,10.57809434,17.9376341907775,18.7270467207004,-2.01837626161577,1.40233047332343,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.4,"F",0.800000000000001,"P"
2010-10-08,"LS 5","10","281",14.9033333333333,0.0273252020425583,1,0,14.895,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.895,14.9033333333333,0.027325202042558,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20101008",3,0.9991087,40459.6409143981,17134,156.24245596,37.99198895,20.28527114,15.1687660380416,15.167480640524,14.43020288,15.0306871462851,15.167480640524,3.09904029412746,0.47598560589327,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",5.9,"P",0.199999999999999,"P"
2011-05-12,"LS 7","05","132",10.65,0.0309838667696587,0.5,0,10.63,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.63,10.65,0.0309838667696584,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20110512",25,1.0102063,40675.6433872685,13934,139.95139381,59.86502579,23.46402974,11.5257816910676,11.4282530200123,8.29485698000002,10.6583418599738,12.1804486080704,2.04394719687444,1.60641882130864,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",15.2,"F",1.5,"P"
2011-06-21,"LS 5","06","172",21.21,0.638887922704584,0.92,0.559364719024081,21.47,10,21.18,21.18,NA,1,21.83,21.83,NA,1,20.32,20.32,NA,1,19.83,19.83,NA,1,21.53,21.49,0.15582040944626,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20110621",3,1.0162461,40715.6404082986,17134,129.85707336,63.01580496,30.6692159,21.3050789216996,21.0698739943266,19.70762576,20.3195853211377,21.6755578083453,1.96196133330222,1.24762975544939,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11,"F",1.4,"P"
2011-06-29,"LS 7","06","180",20.642,0.89981232611152,0.92,0.559364719024081,20.87,10,22.01,22.01,NA,1,19.86,19.86,NA,1,18.7,18.7,NA,1,21.13,21.13,NA,1,20.87,20.7866666666667,0.365768597157638,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20110629",49,1.0166218,40723.6433432755,13846,131.1982263,63.20412934,32.10136628,22.27654857565,22.1210255756404,20.3638856,21.6777587649715,22.5617032214557,2.17420181699859,1.1070174852699,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.7,"F",0.900000000000002,"P"
2011-07-07,"LS 5","07","188",23.496,0.740483325643161,0.92,0.559364719024081,23.6,10,24.21,24.21,NA,1,24.38,24.38,NA,1,21.64,21.64,NA,1,23.13,23.13,NA,1,23.6,23.6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_1_2_1_LT05_013030_20110707",16,1.0166933,40731.6403385069,4976,129.69343806,61.86865653,28.4475029,22.2736611409249,21.9386628560129,20.06309984,21.7942194779939,22.5525610315896,1.11599977084399,0.952383236122047,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",8.3,"P",0.800000000000001,"P"
2011-07-15,"LS 7","07","196",23.756,0.34632033982684,0.92,0.559364719024081,23.6,10,24.03,24.03,NA,1,24.55,24.55,NA,1,23.32,23.32,NA,1,23.99,23.99,NA,1,23.6,23.6116666666667,0.0285773803324702,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20110715",16,1.0164594,40739.6433435301,14840,132.33631963,61.46996744,35.0066832800001,25.0165403163888,24.6327260780174,23.42984954,24.2328575769439,25.8384551775097,1.50205696955264,1.09715648881493,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",11.6,"F",1.6,"P"
2011-07-31,"LS 7","07","212",24.503,0.235940199579847,0.92,0.559364719024081,24.55,10,24.73,24.73,NA,1,24.72,24.72,NA,1,24,24,NA,1,24.16,24.16,NA,1,24.55,24.57,0.0309838667696636,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_2_1_LE07_013030_20110731",12,1.0150966,40755.6433047917,15182,135.8011344,58.69336407,32.77471622,24.1437996346124,23.9172134925773,22.7906798,23.8848871135194,24.2773432607951,3.51426698237125,0.752747886452412,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2,"P",10,"P",0.400000000000002,"P"
