"","collection","filter","month","variable","All missions","LS 5","LS 7","LS 8"
"178","2","range","11","mae",0.64,0.51,1.07,0.18
"179","1","none","11","rmse",1.46,0.48,1.76,0.77
"180","2","cloud","11","rmse",0.57,0.26,0.45,0.77
"181","2","freeze","11","rmse",1.21,0.24,1.68,0.4
"182","2","IQR","11","rmse",1.24,0.2,1.71,0.47
"183","2","none","11","rmse",1.23,0.37,1.5,0.92
"184","2","range","11","rmse",1.19,0.54,1.73,0.17
"185","1","none","11","bias",-0.59,0.01,-0.94,0.01
"186","2","cloud","11","bias",-0.47,-0.22,-0.35,-0.76
"187","2","freeze","11","bias",-0.42,0.17,-0.64,-0.37
"188","2","IQR","11","bias",-0.49,0.1,-0.71,-0.44
"189","2","none","11","bias",-0.38,0.33,-0.44,-0.57
"190","2","range","11","bias",-0.12,0.51,-0.45,-0.03
