,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_max,surface_temp_mean,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,zscore_max,zscore_mean,zscore_min,scene,avg_temp,t_std_dev,avg_depth,d_std_dev,count
96,1_1_2_1_LT05_013030_20000708,125.29347,18.0,59.903330000000004,0.981,1.0166708,36715.63178407408,963068986144.0,0.9892131979695432,23385,22.84009669537016,16.624271745305364,13.312436596930802,0.5155099601380999,30.096668243408203,36715.75,963079200000,1.8,12.057623384036331,3.961652316477978e-12,-6.424386344518652,LT05_013030_20000708,,,,,0.0
97,1_1_2_1_LT05_013030_20000825,138.61372,2.0,50.65377,0.981,1.0106287,36763.63243216436,967216242139.0,0.9968274111675128,23565,21.97017291826181,16.836973461977912,13.311114664223284,0.4892391413492449,39.346229553222656,36763.75,967226400000,2.5,10.492209274440574,-8.226386461316183e-12,-7.206820754428735,LT05_013030_20000825,,,,,0.0
98,1_1_2_1_LT05_013030_20000910,144.4516,1.0,46.06122,0.981,1.0067614,36779.63269921296,968598665212.0,1.0,23640,21.07895841565676,17.027149119400207,6.503891432564813,0.3471499962691951,43.93878173828125,36779.75,968608800000,1.4600006103515626,11.671638599456015,7.703867147614581e-13,-30.313287627620202,LT05_013030_20000910,,,,,0.0
99,1_2_1_LE07_013030_20000918,151.12157,7.0,44.707703,0.981,1.0046139,36787.6412465162,969290603699.0,0.997419627749577,23579,20.80335240851245,15.703236327999889,8.16222868813028,0.7816179602804751,45.29229736328125,36787.75,969300000000,2.0100006103515624,6.525075343307665,5.415594196419763e-12,-9.647945701201138,LE07_013030_20000918,,,,,0.0
100,1_1_2_1_LT05_013030_20001012,153.90762,2.0,35.644290000000005,0.981,0.9977914000000001,36811.632920046286,971363484292.0,1.0,23640,14.253345178220767,10.522647554172613,9.473365319300386,0.3443117822925544,54.35570907592773,36811.75,971373600000,1.0,10.835230787653561,8.477827263425022e-12,-3.0474769927584817,LT05_013030_20001012,,,,,0.0
101,1_2_1_LE07_013030_20001020,158.78474,0.0,33.811504,0.981,0.9955328999999999,36819.641046886565,972055386451.0,1.0,23640,12.719941625506143,10.313419546134275,8.743204109495947,0.3334797928588499,56.18849563598633,36819.75,972064800000,1.4200012207031252,7.216395508529242,1.1466498787553586e-11,-4.7085774618522285,LE07_013030_20001020,,,,,0.0
102,1_1_2_1_LT05_013030_20001028,156.79695,59.0,30.443640000000002,0.981,0.9933546,36827.63310364583,972745900155.0,0.6085871404399323,14387,9.473536875562175,6.553438984029968,-2.3902321924011107,2.19214021170096,59.55636024475098,36827.75,972756000000,0.41000061035156254,1.3320762403543518,7.797346152090774e-14,-4.079880989679654,LT05_013030_20001028,,,,,0.0
103,1_1_2_1_LT05_013030_20001129,158.379,53.0,22.263233,0.981,0.9862617,36859.63341443287,975510727007.0,0.5411590524534687,12793,2.9337323513292226,1.5426290434937076,-8.017961635149016,0.9078841069730468,67.73676681518555,36859.75,975520800000,0.95,1.5322476703260697,-5.2766124884307644e-14,-10.530628970385267,LT05_013030_20001129,,,,,0.0
104,1_1_2_1_LT05_013030_20010508,135.54843,0.0,57.39708,0.981,1.0094253,37019.634091597225,989334785514.0,1.0,23640,21.075876623696114,9.616845236773964,7.004878428513403,1.951482830649852,32.602920532226555,37019.75,989344800000,0.5,5.871961160481358,2.386839652454347e-13,-1.3384523641393071,LT05_013030_20010508,,,,,0.0
105,1_2_1_LE07_013030_20010601,133.23821999999998,5.0,62.512584999999994,0.981,1.0141253000000001,37043.640710486114,991408957386.0,1.0,23640,23.373087632952014,11.35579558135623,8.163495233843829,1.2608419805941231,27.487415313720703,37043.75,991418400000,0.8799987792968751,9.531164282722482,4.122850534549949e-13,-2.531879804643045,LE07_013030_20010601,,,,,0.0
