system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_max,surface_temp_mean,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,zscore_max,zscore_mean,zscore_min,.geo
1_1_2_1_LT05_013030_20091122,161.29596,27.0,24.420465,0.981,0.9875894,40139.64117662037,1258903397660,0.9999153976311337,23638,7.503087772591925,5.818013345125558,4.478767496582545,0.30975493555481703,65.57953453063965,40139.75,1258912800000,0.6299987792968751,5.440024464656711,3.792559983209312E-12,-4.323565809029724,
1_1_2_1_LT05_013030_20100501,141.27509,37.0,56.842155,0.981,1.0076278,40299.641472222225,1272727423200,0.545600676818951,12898,17.03035194980726,8.934380082680692,6.000404225535447,1.1146298531836336,33.15784454345703,40299.75,1272736800000,2.0899993896484377,7.263372539325636,1.9144459321056607E-13,-2.632242307852378,
1_1_2_1_LT05_013030_20100517,137.473,36.0,60.58407,0.981,1.0113477,40315.641442939814,1274109820670,1.0,23640,20.634197442518694,9.080229391241016,7.004654963786377,1.582919077163574,29.415931701660156,40315.75,1274119200000,1.1100006103515625,7.299152697041965,1.4645915448416678E-13,-1.3112321769308963,
1_1_2_1_LT05_013030_20100602,133.53642,4.0,62.7411,0.981,1.0142215,40331.64138136574,1275492215350,0.9524534686971236,22516,24.585511855232472,17.9385994996614,13.782600584111933,0.8502558634017221,27.258899688720703,40331.75,1275501600000,2.4000000000000004,7.817543685000842,-7.759823054666699E-13,-4.887939142133119,
1_1_2_1_LT05_013030_20100618,130.6833,5.0,63.26366,0.981,1.0160488,40347.64133240741,1276874611120,0.9931472081218274,23478,25.873893702077,15.275198620094306,7.002948888710261,1.8264172599644148,26.736339569091797,40347.75,1276884000000,2.3600006103515625,5.802997657933432,-1.4905636615445954E-12,-4.529222271774424,
1_2_1_LE07_013030_20100712,131.44896,25.0,61.67454,0.981,1.0165741,40371.64243958333,1278948306780,0.44175126903553297,10443,26.418695628847864,20.86363941458212,2.792474497943597,1.4584190336786775,28.325458526611328,40371.75,1278957600000,2.4300003051757812,3.8089575670538367,5.654115302677537E-13,-12.390927778182032,
1_2_1_LE07_013030_20100829,144.92148,0.0,51.27657,0.981,1.0098616,40419.642474189815,1283095509770,0.8618443316412859,20374,26.898975713615716,19.98875779419468,18.699594773878736,0.7352833325403785,38.72343063354492,40419.75,1283104800000,1.579998779296875,9.398034218382827,2.58662303801513E-12,-1.7532874244026848,
1_1_2_1_LT05_013030_20100906,146.95941,28.0,48.65948,0.981,1.0079366,40427.641073032406,1283786588710,0.8856598984771573,20937,20.193601952562783,16.871784954127413,8.490992888155953,0.9445426462697322,41.340518951416016,40427.75,1283796000000,2.1100006103515625,3.516852321654476,1.5670489693572558E-13,-8.872857249029035,
1_2_1_LE07_013030_20100914,150.319,61.0,46.316654,0.981,1.00586,40435.64248819444,1284477910980,0.5936125211505923,14033,16.56057526205112,13.4408785729133,5.810198581258393,1.9144234139076106,43.683345794677734,40435.75,1284487200000,1.629998779296875,1.6295750806610096,3.993414984673873E-14,-3.985889399503114,
1_1_2_1_LT05_013030_20101008,156.24246,3.0,37.99199,0.981,0.9991087,40459.640914351854,1286551375000,1.0,23640,15.185682190913685,12.011006502105149,11.40822163887035,0.3117524933993467,52.00801086425781,40459.75,1286560800000,1.9500000000000002,10.183320922927987,3.7829559636872655E-12,-1.9335366227934143,
