"rowid","system:index","cloud_cover","earthsun_d","l_exceltime","pixel_count","sunazi","sunelev","temp_max","temp_mean","temp_median","temp_min","temp_p25","temp_p75","temp_skew","temp_stdDev","vapor_source",".geo","date","month","year","doy","LSmission","freeze_QAQC","temp_spread","spread_QAQC","IQR","IQR_QAQC","temp_med","pred_temp_range","opt_resid_range","calib_range","pred_temp_IQR","opt_resid_IQR","calib_IQR"
57,"1_1_2_1_LT05_013030_19921022",62,0.9949683,33899.6210639699,9112,151.08689444,30.92581238,12.0102447200001,9.60025602829556,9.83852344477947,5.92275110000003,9.43151287400699,9.83852344477947,-2.09827787300939,0.620671902707757,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1992-10-22,10,"1992",296,"LS 5","P",6.1,"P",0.4,"P",NA,NA,NA,NA,NA,NA,NA
58,"1_1_2_1_LT05_013030_19921107",53,0.9907989,33915.6208723843,5289,153.2552268,26.09825272,7.31730326000002,5.11760887282483,5.99785885364637,-3.04955139999998,4.50474612344149,5.99785885364637,-1.68078230945777,1.69092259991989,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1992-11-07,11,"1992",312,"LS 5","F",10.3,"F",1.5,"P",NA,NA,NA,NA,NA,NA,NA
59,"1_1_2_1_LT05_013030_19930502",0,1.0079773,34091.6217657755,17134,130.76668733,53.52561559,21.06799772,7.5865008076697,7.29679514000008,4.85291084000005,6.58910407116562,7.86908974779307,2.15116782283792,2.05415536112624,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1993-05-02,5,"1993",122,"LS 5","P",16.2,"F",1.3,"P",NA,NA,NA,NA,NA,NA,NA
60,"1_1_2_1_LT05_013030_19930603",10,1.0144279,34123.6218309954,8776,122.78166092,58.76228372,22.50698414,12.5687771808927,12.5184428297055,9.00922316000003,11.9570357393275,13.0677557254924,1.68787895701118,1.3373843951744,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1993-06-03,6,"1993",154,"LS 5","P",13.5,"F",1.1,"P",NA,NA,NA,NA,NA,NA,NA
61,"1_1_2_1_LT05_013030_19930705",3,1.0167103,34155.6217304051,17134,120.19002287,58.05219092,34.11799808,22.395683554365,22.3383027498873,20.1417143,21.7386929859873,23.0507369336031,1.87668070692073,1.23218671763308,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1993-07-05,7,"1993",186,"LS 5","P",14,"F",1.4,"P",NA,NA,NA,NA,NA,NA,NA
62,"1_1_2_1_LT05_013030_19930806",26,1.0142056,34187.6217365972,16090,126.83994007,53.15795828,28.9431158,17.8473925577907,17.6365525168865,12.9057659600001,16.4087055295165,19.4664453671807,0.166380419931906,1.95445410572268,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1993-08-06,8,"1993",218,"LS 5","P",16,"F",3.1,"F",NA,NA,NA,NA,NA,NA,NA
63,"1_1_2_1_LT05_013030_19930907",84,1.0075935,34219.6217011227,4445,138.2798731,45.26263869,17.7115020800001,13.8034200146483,14.1458053730467,9.18354218000002,12.9084665446706,14.4907555937351,-0.323530676956626,1.22395345609984,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1993-09-07,9,"1993",250,"LS 5","P",8.5,"P",1.6,"P",NA,NA,NA,NA,NA,NA,NA
64,"1_1_2_1_LT05_013030_19931025",22,0.9942191,34267.6215428704,15188,151.8308085,30.1524087,14.5669236800001,10.1384188886083,10.0259796881949,7.11564008000005,9.88134353442363,10.5713953413936,0.208552226392989,0.5183430063194,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1993-10-25,10,"1993",298,"LS 5","P",7.5,"P",0.699999999999999,"P",NA,NA,NA,NA,NA,NA,NA
65,"1_1_2_1_LT05_013030_19931110",1,0.9901459,34283.6214592593,17131,153.78401734,25.45009589,8.80072394000001,6.38176340415421,6.41383610609662,3.05503232000001,5.86115187062148,6.82043985147059,-0.549193080950212,0.630494231871432,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1993-11-10,11,"1993",314,"LS 5","P",5.7,"P",0.899999999999999,"P",NA,NA,NA,NA,NA,NA,NA
66,"1_1_2_1_LT05_013030_19931126",61,0.9868154,34299.6213966319,17123,154.30457716,21.62277997,4.28893754000001,1.79964095217332,1.81343442215814,-4.44752158,1.67048389900406,2.36377307042617,-1.45392284500967,0.999023500296979,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1993-11-26,11,"1993",330,"LS 5","F",8.7,"P",0.7,"P",NA,NA,NA,NA,NA,NA,NA
67,"1_1_2_1_LT05_013030_19940521",1,1.0121814,34475.619653206,17134,124.83554147,56.86941536,24.40056722,12.2449831122927,11.883546189605,10.20894818,11.3282383958923,12.5781208274483,1.88967119841451,1.89846937504661,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1994-05-21,5,"1994",141,"LS 5","P",14.2,"F",1.3,"P",NA,NA,NA,NA,NA,NA,NA
68,"1_1_2_1_LT05_013030_19940622",5,1.0163389,34507.6192028588,17114,118.8740177,58.32165547,27.41867888,21.1825580968349,21.0417526535347,18.81552254,20.5955270896051,21.6296877017755,0.831610569011944,0.968776083877862,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1994-06-22,6,"1994",173,"LS 5","P",8.6,"P",1,"P",NA,NA,NA,NA,NA,NA,NA
69,"1_1_2_1_LT05_013030_19940708",45,1.016682,34523.6189129514,5135,119.06499638,57.06189099,30.0539723000001,14.0335426255325,12.4124461620254,-2.48899611999997,7.67511228370375,22.3941894146134,0.0546338725772825,8.27961596073299,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1994-07-08,7,"1994",189,"LS 5","F",32.6,"F",14.7,"F",NA,NA,NA,NA,NA,NA,NA
70,"1_1_2_1_LT05_013030_19940724",45,1.0158094,34539.6186045833,7227,121.6526071,54.84003817,28.7209445,23.7888434441213,23.7345148372077,20.53136858,23.0502139109513,24.5590049538109,0.00395117085761888,0.953772595559916,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1994-07-24,7,"1994",205,"LS 5","P",8.2,"P",1.5,"P",NA,NA,NA,NA,NA,NA,NA
71,"1_1_2_1_LT05_013030_19940809",16,1.0137808,34555.6183010185,17134,126.12549638,51.8197169,29.92066952,22.3271797729235,22.064528910316,21.2696609,21.9362257870051,22.7319716758396,2.68035859440762,0.566822477860127,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1994-08-09,8,"1994",221,"LS 5","P",8.6,"P",0.800000000000001,"P",NA,NA,NA,NA,NA,NA,NA
72,"1_1_2_1_LT05_013030_19940825",10,1.0107361,34571.6180315278,17134,131.66770447,48.09746765,27.34006442,20.5363290223772,20.4314063806944,19.69053566,20.2872380332744,20.8776980514218,2.46526607579757,0.546495990269148,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1994-08-25,8,"1994",237,"LS 5","P",7.6,"P",0.599999999999998,"P",NA,NA,NA,NA,NA,NA,NA
73,"1_1_2_1_LT05_013030_19940910",6,1.0068885,34587.6177485185,9995,137.48346422,43.73499791,19.41709406,16.306093774195,16.5199217422109,12.6904307,16.1225652182657,16.6601478578395,-0.910653977490861,0.570116064299551,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1994-09-10,9,"1994",253,"LS 5","P",6.7,"P",0.599999999999998,"P",NA,NA,NA,NA,NA,NA,NA
74,"1_1_2_1_LT05_013030_19941012",0,0.9979294,34619.6171161921,17134,147.28322496,33.7394282,13.9721882,11.5122611299979,11.6446676938417,8.53070036000003,11.2526462597939,11.788322174635,-1.41078871955476,0.490268027189175,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1994-10-12,10,"1994",285,"LS 5","P",5.5,"P",0.5,"P",NA,NA,NA,NA,NA,NA,NA
75,"1_1_2_1_LT05_013030_19941028",1,0.9934823,34635.6167430787,17133,150.42771541,28.67877711,13.3056743,10.6272037339264,10.5819954395275,8.35979936000001,10.4381291823006,10.9866017537578,0.427513526393382,0.396898033926222,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1994-10-28,10,"1994",301,"LS 5","P",4.9,"P",0.6,"P",NA,NA,NA,NA,NA,NA,NA
76,"1_1_2_1_LT05_013030_19941113",45,0.9895147,34651.6163558218,17131,152.14359263,24.08760862,11.05319912,8.16549393638851,8.10217945677855,5.70399782000004,7.96064231411226,8.52013782628446,-0.0377789634897627,0.444474654618192,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1994-11-13,11,"1994",317,"LS 5","P",5.4,"P",0.5,"P",NA,NA,NA,NA,NA,NA,NA
77,"1_1_2_1_LT05_013030_19941129",54,0.9863404,34667.6159909838,16789,152.43286549,20.43961283,5.91249704000001,4.00806098397012,4.00504857879032,1.28107994000004,3.5769494410448,4.24580064219141,-0.764972592888848,0.542026620169419,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1994-11-29,11,"1994",333,"LS 5","P",4.6,"P",0.6,"P",NA,NA,NA,NA,NA,NA,NA
78,"1_1_2_1_LT05_013030_19950508",11,1.0093126,34827.6116673727,8106,124.65962399,52.72123854,17.16461888,7.31802845397395,6.92361516150605,5.61512930000004,6.78350308859117,7.50282432409822,2.40951986461932,1.22251554983248,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1995-05-08,5,"1995",128,"LS 5","P",11.6,"F",0.7,"P",NA,NA,NA,NA,NA,NA,NA
79,"1_1_2_1_LT05_013030_19950727",38,1.0155407,34907.6091492708,13425,118.2896771,52.22281164,32.39189798,24.4044469136001,24.5465228916497,22.83511406,23.830908962498,24.6456830632987,1.33151887462786,0.707117912784482,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1995-07-27,7,"1995",208,"LS 5","P",9.6,"P",0.800000000000001,"P",NA,NA,NA,NA,NA,NA,NA
80,"1_1_2_1_LT05_013030_19950828",16,1.010127,34939.608121412,6225,128.41623679,45.38815364,14.4199488200001,10.3080895595204,10.345929131149,2.68930418000002,9.24614047081696,11.6533441643396,-0.41860579832084,1.74321375849958,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1995-08-28,8,"1995",240,"LS 5","P",11.7,"F",2.5,"P",NA,NA,NA,NA,NA,NA,NA
81,"1_1_2_1_LT05_013030_19950929",20,1.0017332,34971.6070251736,17134,139.45735941,36.27530061,14.40285872,10.4530250980527,10.6267623254057,4.22057714000005,9.71777869188412,11.2962668923349,-0.56976473548473,1.24394674132347,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1995-09-29,9,"1995",272,"LS 5","P",10.2,"F",1.6,"P",NA,NA,NA,NA,NA,NA,NA
82,"1_1_2_1_LT05_013030_19951116",26,0.9889071,35019.6058368981,16099,148.82935097,22.09753603,7.87444052000001,5.10552026734313,5.28349389310213,0.946113980000007,4.87594196423208,5.42639586071937,-1.0976714306638,0.822522564790094,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1995-11-16,11,"1995",320,"LS 5","P",7,"P",0.5,"P",NA,NA,NA,NA,NA,NA,NA
83,"1_1_2_1_LT05_013030_19960526",1,1.0131915,35211.614319838,16759,121.14813359,56.5006981,22.40786156,12.6201464339446,12.6733470801166,10.10640758,12.1363998530707,12.8204830638585,1.94248855503624,1.13602152583737,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1996-05-26,5,"1996",147,"LS 5","P",12.3,"F",0.700000000000001,"P",NA,NA,NA,NA,NA,NA,NA
84,"1_1_2_1_LT05_013030_19960611",59,1.0154581,35227.6149339005,6096,118.24139328,57.60935234,24.61248446,14.0513911368464,14.6017929107371,5.21863898000004,12.7886718925679,15.5004044129723,-0.622638053809457,3.10731536706037,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1996-06-11,6,"1996",163,"LS 5","P",19.4,"F",2.7,"P",NA,NA,NA,NA,NA,NA,NA
85,"1_1_2_1_LT05_013030_19960814",5,1.0128423,35291.6172844329,16841,127.75889838,50.56279842,28.9807140200001,21.7146223060232,21.623988367418,19.8716907200001,21.1463457946768,21.7744888445837,2.35763447762079,0.691700450205991,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1996-08-14,8,"1996",227,"LS 5","P",9.1,"P",0.699999999999999,"P",NA,NA,NA,NA,NA,NA,NA
86,"1_1_2_1_LT05_013030_19960830",0,1.0094954,35307.6178847569,17134,133.88602223,46.79010305,25.61396432,19.8691811512316,19.8685952517793,16.31011388,19.1874244261171,20.7635501490511,-0.240674658097604,1.01870127614347,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1996-08-30,8,"1996",243,"LS 5","P",9.3,"P",1.6,"P",NA,NA,NA,NA,NA,NA,NA
87,"1_1_2_1_LT05_013030_19960915",47,1.0054335,35323.6184959144,14405,140.00598818,42.3776526,23.89128224,18.5912649904035,18.7125486060925,14.27639198,18.5692747538387,18.7125486060925,-0.673124116676531,0.612992778156556,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1996-09-15,9,"1996",259,"LS 5","P",9.6,"P",0.0999999999999979,"P",NA,NA,NA,NA,NA,NA,NA
88,"1_1_2_1_LT05_013030_19961001",17,1.0009491,35339.6190915046,17134,145.44712687,37.50066884,19.6461014,14.7874423473224,14.6828520957128,13.19629766,14.5470109526792,15.1672318866548,0.980781518380996,0.482419083124365,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1996-10-01,10,"1996",275,"LS 5","P",6.4,"P",0.699999999999999,"P",NA,NA,NA,NA,NA,NA,NA
89,"1_1_2_1_LT05_013030_19961017",19,0.9963733,35355.6196670139,16562,149.75506333,32.4330279,16.4160725,11.8681585651681,11.8856387215578,10.86179,11.4510403572725,12.0203635761431,2.50411693205576,0.459177957332671,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1996-10-17,10,"1996",291,"LS 5","P",5.5,"P",0.5,"P",NA,NA,NA,NA,NA,NA,NA
90,"1_1_2_1_LT05_013030_19970614",25,1.0157395,35595.6266029051,9534,123.32954367,60.26532431,26.33858456,19.2800844750774,19.2655189788912,17.1338567,18.8550376338574,19.4213327483808,1.31367008044223,0.851271632014334,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1997-06-14,6,"1997",165,"LS 5","P",9.2,"P",0.5,"P",NA,NA,NA,NA,NA,NA,NA
91,"1_1_2_1_LT05_013030_19970630",4,1.0166671,35611.6269988426,17131,122.54628477,59.72463058,31.46561456,21.5901864885445,21.4686405061503,20.04600974,20.8302134766295,21.9656918625106,2.27730781227996,1.20449453253786,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1997-06-30,6,"1997",181,"LS 5","P",11.5,"F",1.2,"P",NA,NA,NA,NA,NA,NA,NA
92,"1_1_2_1_LT05_013030_19971105",17,0.9913533,35739.6296640972,16951,156.43419852,27.78281492,11.7675653,8.79071681023418,8.90678042790794,5.02381184000001,8.50473203473674,9.05186522408763,-0.356878443255675,0.503744735999402,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1997-11-05,11,"1997",309,"LS 5","P",6.8,"P",0.6,"P",NA,NA,NA,NA,NA,NA,NA
93,"1_1_2_1_LT05_013030_19980516",1,1.0111655,35931.6321873264,17134,132.61213512,58.69949536,26.06514296,14.319415996757,13.9496706867055,11.8632698600001,13.1684673055902,14.592070459323,1.92012663949494,2.11402463085876,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1998-05-16,5,"1998",136,"LS 5","P",14.2,"F",1.4,"P",NA,NA,NA,NA,NA,NA,NA
94,"1_1_2_1_LT05_013030_19980703",16,1.0167043,35979.6326517477,9120,125.36990353,60.67307188,29.5241792,21.5497068060827,21.6169524475196,18.87362888,20.8273000208472,22.2570653944264,1.29920667305816,1.1900925065087,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1998-07-03,7,"1998",184,"LS 5","P",10.6,"F",1.5,"P",NA,NA,NA,NA,NA,NA,NA
95,"1_1_2_1_LT05_013030_19980820",22,1.0117834,36027.6329234375,4404,136.91501504,52.20287305,17.74226426,12.2474129758852,11.9928160809543,8.38714352,10.8171491054554,13.1694926291044,0.629642297858864,1.76066444594233,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1998-08-20,8,"1998",232,"LS 5","P",9.3,"P",2.4,"P",NA,NA,NA,NA,NA,NA,NA
96,"1_1_2_1_LT05_013030_19981108",77,0.9906834,36107.6332483796,7134,157.95262062,27.33518561,9.34077109999998,6.48514224988282,6.80632295612868,1.75618472000002,5.84722105476179,7.35136565273254,-1.16029651831844,1.11146045706112,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1998-11-08,11,"1998",312,"LS 5","P",7.5,"P",1.6,"P",NA,NA,NA,NA,NA,NA,NA
97,"1_1_2_1_LT05_013030_19990604",5,1.0144944,36315.6326073264,8677,128.18758517,61.12892056,26.0890691,17.3641079075148,17.0936486162416,14.31057218,16.6882074327381,17.7843649017418,1.47717997854367,1.12962217476419,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1999-06-04,6,"1999",155,"LS 5","P",11.8,"F",1.1,"P",NA,NA,NA,NA,NA,NA,NA
98,"1_1_2_1_LT05_013030_19990620",50,1.016191,36331.6325145255,9050,125.60512018,61.40496042,27.8356773200001,17.0580923717615,17.8361953804579,8.54779045999999,15.435340031137,19.0885729894048,-0.557174559821054,2.67295925873438,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1999-06-20,6,"1999",171,"LS 5","P",19.3,"F",3.7,"F",NA,NA,NA,NA,NA,NA,NA
99,"1_1_2_1_LT05_013030_19990722",16,1.0160027,36363.6323787963,11999,127.66668973,58.17162495,32.52520076,23.1931381264248,23.0975020631579,21.4405619,22.966083117593,23.1174682299058,2.31320986743946,1.0595206587893,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1999-07-22,7,"1999",203,"LS 5","P",11.1,"F",0.100000000000001,"P",NA,NA,NA,NA,NA,NA,NA
100,"1_2_1_LE07_013030_19990730",5,1.0152067,36371.642905,16324,135.25213653,58.8277259,34.0872359,26.7607008390267,26.5429767612136,24.16814186,26.5429767612136,27.0239925190832,2.64372711208521,0.728089600554946,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1999-07-30,7,"1999",211,"LS 7","P",9.9,"P",0.5,"P",NA,NA,NA,NA,NA,NA,NA
101,"1_1_2_1_LT05_013030_19990807",12,1.0141307,36379.6323465856,16569,131.96028603,55.12404379,29.69849822,23.0123278914649,23.1901676508046,20.7911381,22.6457434167291,23.3453389597182,1.61252570007784,0.531813851949603,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1999-08-07,8,"1999",219,"LS 5","P",8.9,"P",0.699999999999999,"P",NA,NA,NA,NA,NA,NA,NA
102,"1_1_2_1_LT05_013030_19990823",8,1.0112184,36395.6321838194,17134,137.39034369,51.28611151,28.3107821,20.8221907537762,20.8411495114139,19.5333067400001,20.19060206725,21.004092620554,2.01045469002401,0.747238399252712,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1999-08-23,8,"1999",235,"LS 5","P",8.8,"P",0.800000000000001,"P",NA,NA,NA,NA,NA,NA,NA
103,"1_2_1_LE07_013030_19990831",0,1.009433,36403.6429491782,17134,145.72756983,50.85215622,27.31272026,21.1811445314258,21.2244197065023,20.16905846,20.8703638200767,21.2244197065023,4.03567306109402,0.499521417814898,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1999-08-31,8,"1999",243,"LS 7","P",7.1,"P",0.300000000000001,"P",NA,NA,NA,NA,NA,NA,NA
104,"1_1_2_1_LT05_013030_19990924",0,1.0031499,36427.6315390972,17134,148.32179213,41.71789754,24.28093652,17.17636839294,17.0978922985542,16.39556438,16.9535465865323,17.1032455383213,2.94438770784764,0.627672505185367,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1999-09-24,9,"1999",267,"LS 5","P",7.9,"P",0.100000000000001,"P",NA,NA,NA,NA,NA,NA,NA
105,"1_2_1_LE07_013030_19991002",2,1.0008737,36435.6430043866,17134,155.64442467,40.40318426,21.3551114000001,16.9066605376874,16.9135782742063,15.1001348,16.8965157575453,16.9135782742063,2.34793291850638,0.363579923803066,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1999-10-02,10,"1999",275,"LS 7","P",6.3,"P",0,"P",NA,NA,NA,NA,NA,NA,NA
106,"1_1_2_1_LT05_013030_19991026",15,0.9940889,36459.6314599074,17134,155.65736732,31.0936486,12.69726674,9.3352311715846,9.44949378287815,6.52090459999999,9.30614199232953,9.44949378287815,-0.795274965513937,0.63960997184434,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1999-10-26,10,"1999",299,"LS 5","P",6.2,"P",0.0999999999999996,"P",NA,NA,NA,NA,NA,NA,NA
107,"1_1_2_1_LT05_013030_19991111",4,0.9900342,36475.6310762037,17134,157.27471421,26.32829801,10.6054385,7.50365409410287,7.74795639541833,1.18195736000001,7.22503589509658,8.11711994000053,-1.79784989844452,0.992781692149239,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1999-11-11,11,"1999",315,"LS 5","P",9.4,"P",0.899999999999999,"P",NA,NA,NA,NA,NA,NA,NA
108,"1_1_2_1_LT05_013030_20000622",57,1.0163646,36699.6315355556,9283,124.88212846,61.10394961,25.92842216,11.0534801156297,10.3586426409271,4.83923876000006,9.4829592279209,12.5607676107532,0.963340160149127,2.93887201339782,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2000-06-22,6,"2000",174,"LS 5","P",21.1,"F",3.1,"F",NA,NA,NA,NA,NA,NA,NA
109,"1_2_1_LE07_013030_20000630",51,1.0166702,36707.6420501968,5279,130.34133956,62.78680614,26.51973962,21.7066334663393,21.7941671682126,18.8599568,21.3825504709997,22.2164940067277,0.83495824189329,0.704672382580516,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2000-06-30,6,"2000",182,"LS 7","P",7.6,"P",0.800000000000001,"P",NA,NA,NA,NA,NA,NA,NA
110,"1_1_2_1_LT05_013030_20000708",18,1.0166708,36715.6317840741,16424,125.29347283,59.9033299,29.71900634,20.8707982157309,20.6426270827083,19.33506158,20.495435868732,21.2217131605697,1.65948884513891,0.920251857960121,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2000-07-08,7,"2000",190,"LS 5","P",10.4,"F",0.699999999999999,"P",NA,NA,NA,NA,NA,NA,NA
111,"1_1_2_1_LT05_013030_20000825",2,1.0106287,36763.6324321644,16935,138.61373054,50.65376866,26.91281192,19.9243333041381,19.6888654455547,18.93173522,19.5390626791533,20.2893139939977,2.79412975898182,0.730761378298253,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2000-08-25,8,"2000",238,"LS 5","P",8,"P",0.800000000000001,"P",NA,NA,NA,NA,NA,NA,NA
112,"1_1_2_1_LT05_013030_20000910",1,1.0067614,36779.632699213,17134,144.45159584,46.06121766,25.93867622,19.0439290119257,19.1333186682873,-2.22239056000001,18.7204975915002,19.2794984021976,-1.57630912146655,0.604238354187841,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2000-09-10,9,"2000",254,"LS 5","F",28.1,"F",0.600000000000001,"P",NA,NA,NA,NA,NA,NA,NA
113,"1_2_1_LE07_013030_20000918",7,1.0046139,36787.6412465162,16903,151.12157298,44.7077019,26.21553584,18.746370715172,18.8120499655308,9.81587588000002,18.4254899716,18.8120499655308,-2.24866859870577,0.853696583132244,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2000-09-18,9,"2000",262,"LS 7","P",16.4,"F",0.400000000000002,"P",NA,NA,NA,NA,NA,NA,NA
114,"1_1_2_1_LT05_013030_20001012",2,0.9977914,36811.6329200463,17134,153.90763012,35.644291,16.95270164,12.0659065409931,12.0991114398057,11.04294506,11.9517050936783,12.0991114398057,3.0009809338913,0.505982685134386,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2000-10-12,10,"2000",286,"LS 5","P",6,"P",0.0999999999999996,"P",NA,NA,NA,NA,NA,NA,NA
115,"1_2_1_LE07_013030_20001020",0,0.9955329,36819.6410468866,17134,158.78475161,33.81150391,16.6895141,12.1298985013911,12.1421161573777,10.7079791,11.7830232677923,12.1421161573777,3.37489766720152,0.466310656951651,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2000-10-20,10,"2000",294,"LS 7","P",6,"P",0.299999999999999,"P",NA,NA,NA,NA,NA,NA,NA
116,"1_1_2_1_LT05_013030_20001028",59,0.9933546,36827.6331036458,5757,156.79694393,30.44363958,11.6308445,9.63443550245608,9.96921621553122,4.46667458000002,9.29561414601623,10.3421520581325,-1.37780646273504,1.11581470244752,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2000-10-28,10,"2000",302,"LS 5","P",7.1,"P",1,"P",NA,NA,NA,NA,NA,NA,NA
117,"1_1_2_1_LT05_013030_20001129",53,0.9862617,36859.6334144329,5239,158.37899552,22.26323304,7.19767256,3.98011022503039,3.94832439482457,1.46907104000002,3.8132469933991,4.39210476334932,0.444263302352835,0.483844730969546,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2000-11-29,11,"2000",334,"LS 5","P",5.7,"P",0.600000000000001,"P",NA,NA,NA,NA,NA,NA,NA
118,"1_1_2_1_LT05_013030_20010508",0,1.0094253,37019.6340915972,17134,135.54843506,57.39708019,23.49479192,10.9639397216608,10.7968476200002,7.62492506000001,9.37076388866385,11.9854127303402,1.60213969676557,2.20445533295547,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2001-05-08,5,"2001",128,"LS 5","P",15.9,"F",2.6,"P",NA,NA,NA,NA,NA,NA,NA
119,"1_2_1_LE07_013030_20010601",5,1.0141253,37043.6407104861,17134,133.23822423,62.5125848,23.6451848,12.9646117855194,13.0179704010577,9.4604018,12.3104649624727,13.7206357750305,1.24669584354514,1.46212531899624,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2001-06-01,6,"2001",152,"LS 7","P",14.1,"F",1.4,"P",NA,NA,NA,NA,NA,NA,NA
120,"1_1_2_1_LT05_013030_20010609",9,1.0152023,37051.6342123148,16061,127.90808175,61.6999222,29.27808176,16.0759771968496,15.7385773549163,14.08498286,14.8060645056751,16.8612851802989,1.58956675155225,1.74119343032762,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2001-06-09,6,"2001",160,"LS 5","P",15.2,"F",2.1,"P",NA,NA,NA,NA,NA,NA,NA
121,"1_1_2_1_LT05_013030_20010625",11,1.016503,37067.6341969213,17061,126.08778909,61.51552161,29.51392514,20.607951054316,20.4041142116458,18.54208094,20.2559252044317,21.0169831177274,2.26185230891813,1.11423289180835,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2001-06-25,6,"2001",176,"LS 5","P",11,"F",0.699999999999999,"P",NA,NA,NA,NA,NA,NA,NA
122,"1_1_2_1_LT05_013030_20010727",15,1.0154875,37099.6341744676,9167,129.89041814,57.58865928,26.37276476,21.5673646625982,21.6943627718414,16.843325,21.1667762336203,21.8498816226696,-0.187164203419834,0.767741927925575,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2001-07-27,7,"2001",208,"LS 5","P",9.6,"P",0.600000000000001,"P",NA,NA,NA,NA,NA,NA,NA
123,"1_1_2_1_LT05_013030_20010828",14,1.0100156,37131.6340817593,17134,140.36240799,50.15399138,31.7800724,23.4167862787546,23.1319902708596,22.36000928,23.1319902708596,23.6230115391821,2.90806968698343,0.779240426397748,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",2001-08-28,8,"2001",240,"LS 5","P",9.4,"P",0.5,"P",NA,NA,NA,NA,NA,NA,NA
