"rowid","system:index","cloud_cover","earthsun_d","l_exceltime","pixel_count","sunazi","sunelev","temp_max","temp_mean","temp_median","temp_min","temp_p25","temp_p75","temp_skew","temp_stdDev","vapor_source",".geo","date","month","year","doy","LSmission","freeze_QAQC","temp_spread","spread_QAQC","IQR","IQR_QAQC","temp_med","pred_temp_range","opt_resid_range","calib_range","pred_temp_IQR","opt_resid_IQR","calib_IQR"
45,"1_1_2_1_LT05_013030_19910716",1,1.0164091,33435.6223687616,16755,121.69099426,56.92722049,30.3274139,20.6996270020479,20.3845224816832,19.05478394,20.2406210790694,20.9736531028435,2.31854767169467,1.02809731968496,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1991-07-16,7,"1991",197,"LS 5","P",11.2,"F",0.800000000000001,"P",NA,NA,NA,NA,NA,NA,NA
46,"1_1_2_1_LT05_013030_19910801",35,1.0149618,33451.6224733333,17035,125.46259694,54.35925609,31.9783175600001,23.0029686778283,22.7407783588108,21.1500302000001,22.611695906337,23.4598398852323,2.1360567647589,1.04263535981821,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1991-08-01,8,"1991",213,"LS 5","P",10.8,"F",0.899999999999999,"P",NA,NA,NA,NA,NA,NA,NA
47,"1_1_2_1_LT05_013030_19910817",5,1.0124168,33467.6225228472,15035,130.72922686,51.00988119,30.27272558,18.2945449084062,19.1363406383517,4.98963164000003,14.2549087969301,22.2028923351051,-0.554171536560452,4.7719209161556,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1991-08-17,8,"1991",229,"LS 5","P",25.3,"F",7.9,"F",NA,NA,NA,NA,NA,NA,NA
48,"1_1_2_1_LT05_013030_19910902",0,1.0089507,33483.6226766435,17134,136.65914156,46.96093487,23.85710204,19.969375209023,19.8659148800918,16.81598084,19.7161153298201,20.2443501660819,-1.12504439638268,0.537412305809763,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1991-09-02,9,"1991",245,"LS 5","P",7.1,"P",0.5,"P",NA,NA,NA,NA,NA,NA,NA
49,"1_1_2_1_LT05_013030_19910918",69,1.0048085,33499.6228085995,13924,142.43197422,42.30194983,22.66079504,13.5667612944826,13.41539813761,6.67129748000002,11.3389045191252,15.5715288095188,0.253851815544415,2.89965344869356,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1991-09-18,9,"1991",261,"LS 5","P",16,"F",4.3,"F",NA,NA,NA,NA,NA,NA,NA
50,"1_1_2_1_LT05_013030_19911004",7,1.0002895,33515.6228404977,16062,147.45326219,37.24259967,20.08360796,14.9999256218522,14.9397440634269,13.63380422,14.8117204206655,14.9397440634269,2.3353737783525,0.60009627508838,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1991-10-04,10,"1991",277,"LS 5","P",6.5,"P",0.0999999999999996,"P",NA,NA,NA,NA,NA,NA,NA
51,"1_1_2_1_LT05_013030_19911105",43,0.9914724,33547.6229559259,16092,153.78295249,27.14835123,8.65716710000004,5.77241111924666,5.98886886071005,-2.00021925999999,4.356988463157,7.59755780071734,-0.683816603203351,1.91683348857881,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1991-11-05,11,"1991",309,"LS 5","F",10.7,"F",3.2,"F",NA,NA,NA,NA,NA,NA,NA
52,"1_1_2_1_LT05_013030_19920515",35,1.0110645,33739.6226291088,14825,127.69631774,56.59145133,20.35021352,10.4300495664879,10.2148424864726,7.17374642000004,10.0655303148671,10.7817058445092,1.92942125789315,1.30177470894988,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1992-05-15,5,"1992",136,"LS 5","P",13.2,"F",0.700000000000001,"P",NA,NA,NA,NA,NA,NA,NA
53,"1_1_2_1_LT05_013030_19920616",1,1.0159444,33771.6223782176,17134,120.82397514,59.19417388,26.4308711,18.3476350541167,18.3099038303312,17.2705775000001,17.9431676334001,18.46240992833,2.97620720452881,0.767053076816538,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1992-06-16,6,"1992",168,"LS 5","P",9.1,"P",0.600000000000001,"P",NA,NA,NA,NA,NA,NA,NA
54,"1_1_2_1_LT05_013030_19920819",64,1.0118822,33835.6217902778,11107,131.33168062,50.18238503,25.72675898,18.3976423715655,18.1199497206166,16.5698834,17.994298283574,18.7393626536202,1.67053042863666,0.842864633864208,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1992-08-19,8,"1992",232,"LS 5","P",9.1,"P",0.699999999999999,"P",NA,NA,NA,NA,NA,NA,NA
55,"1_1_2_1_LT05_013030_19920920",1,1.0040522,33867.6214527546,17129,142.74719148,41.23097391,21.2970050600001,17.9484267882345,17.9531254266429,14.30715416,17.8040273845691,18.3609104743449,-0.483084416785371,0.491293661200919,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1992-09-20,9,"1992",264,"LS 5","P",7,"P",0.599999999999998,"P",NA,NA,NA,NA,NA,NA,NA
56,"1_1_2_1_LT05_013030_19921006",0,0.9995016,33883.6211676505,17133,147.50924243,36.10811268,14.2866460400001,12.5718595276765,12.838499606367,8.48968411999999,12.4488872304622,12.9842455208397,-1.86947504624401,0.637044106617519,"NCEP","{""type"":""MultiPoint"",""coordinates"":[]}",1992-10-06,10,"1992",280,"LS 5","P",5.8,"P",0.6,"P",NA,NA,NA,NA,NA,NA,NA
