,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,scene,temp_avg,t_stdev,depth_avg,d_stdev,temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
238,2_1_LC08_013030_20150702,133.72997,38.16,63.768753000000004,0.977941145456293,1.0166498,42187.64743414352,1435851138310.0,0.8441596271482669,14490,21.75539089338621,17.699275136630952,17.783355948981473,8.835546079424349,0.7655231940280173,26.23124694824219,42187.75,1435860000000,1.2800000190734864,LC08_013030_20150702,20.166999999999998,0.7584054910724795,1.4700000000000002,0.048304589153964836,20.57,10.0,20.32,20.32,,1.0,18.23,18.23,,1.0,20.17,20.17,,1.0,19.52,19.52,,1.0,20.57,20.571666666666665,0.004082482904638108,6.0,,,,,,,,,,,,,,,,
239,1_2_1_LE07_013030_20150710,134.27905,21.0,62.96398000000001,0.977941145456293,1.0166405,42195.64764814815,1436542356800.0,0.6429362073987765,11036,24.394761802054703,18.74121698715488,18.700205417882227,13.83077551894921,0.7438340858324636,27.03601837158203,42195.75,1436551200000,1.5399999618530271,LE07_013030_20150710,22.309999999999995,0.49928838248940793,1.4700000000000002,0.048304589153964836,22.58,10.0,22.630000000000006,22.630000000000006,,1.0,21.49,21.49,,1.0,22.14,22.14,,1.0,21.32,21.32,,1.0,22.58,22.586666666666662,0.01032795558988783,6.0,,,,,,,,,,,,,,,,
240,1_2_1_LE07_013030_20150827,146.96916000000002,67.0,52.707,0.977941145456293,1.0103803,42243.64773668982,1440689564450.0,0.28400815613166325,4875,19.23171623255854,17.144457574407063,17.10020001592948,11.596889335686686,1.0125245303047148,37.29299926757813,42243.75,1440698400000,2.35,LE07_013030_20150827,24.05908333333333,0.4451215274983056,1.1416666666666668,0.4756972553924174,24.177500000000002,12.0,24.34,24.34,,1.0,23.33,23.33,,1.0,24.35,24.35,,1.0,22.98,22.98,,1.0,24.177500000000002,24.213625,0.1356833893402466,8.0,,,,,,,,,,,,,,,,
241,2_1_LC08_013030_20150904,149.70493000000002,34.91,50.29234,0.977941145456293,1.0084878000000002,42251.64772314815,1441380763280.0,0.28936789979609673,4967,18.228662131792525,16.77369791309416,16.81992285476215,14.252649485983255,0.6243761112880776,39.70766067504883,42251.75,1441389600000,1.3,LC08_013030_20150904,23.90516666666667,0.27480566135935436,1.1416666666666668,0.4756972553924174,24.014000000000003,12.0,23.31,23.31,,1.0,23.68,23.68,,1.0,23.49,23.49,,1.0,23.83,23.83,,1.0,24.1,24.069000000000003,0.06869393818130598,8.0,,,,,,,,,,,,,,,,
242,2_1_LC08_013030_20151022,161.84605,64.71,33.964413,0.977941145456293,0.9951999,42299.6478912037,1445527977800.0,0.6357704631517623,10913,8.649707928585489,6.949071709989624,7.140566102411162,4.416788919873592,0.675547403684641,56.03558731079102,42299.75,1445536800000,1.6799999237060548,LC08_013030_20151022,13.221,0.05542562584220412,1.5,0.0,13.221,4.0,,,,,,,,,,,,,,,,,13.221,13.221,0.05542562584220412,4.0,,,,,,,,,,,,,,,,
243,1_2_1_LE07_013030_20151030,162.93169,32.0,31.3858,0.977941145456293,0.9930648999999999,42307.64814664352,1446219199870.0,0.7461112729391203,12807,9.321026647810424,8.035433912468305,8.1637747985273,0.9384066449420859,1.167716647008069,58.61420059204102,42307.75,1446228000000,0.4300000190734864,LE07_013030_20151030,11.21175,0.04849999999999888,1.5,0.0,11.235999999999999,4.0,,,,,,,,,,,,,,,,,11.235999999999999,11.21175,0.04849999999999858,4.0,,,,,,,,,,,,,,,,
244,2_1_LC08_013030_20151123,163.74684,1.18,24.829836,0.977941145456293,0.9874693999999999,42331.64794861111,1448292782760.0,1.0,17165,6.747077270818561,5.759257672277211,6.013987446385952,1.0710015830386646,0.9574120459483444,65.17016410827637,42331.75,1448301600000,0.1,LC08_013030_20151123,8.282,0.0,1.5,0.0,8.282,4.0,,,,,,,,,,,,,,,,,8.282,8.282,0.0,4.0,,,,,,,,,,,,,,,,
245,2_1_LC08_013030_20160517,141.12831,52.34,61.746155,0.977941145456293,1.0114498,42507.6475462963,1463499148000.0,0.3839790270900088,6591,12.67314726993269,7.260188204723719,7.053985699983392,-3.7532694957470696,1.7832017969223102,28.25384521484375,42507.75,1463508000000,1.1699999809265138,LC08_013030_20160517,11.235,0.09690201236300527,1.5,0.0,11.255,6.0,,,,,,,,,,,,,,,,,11.255,11.235,0.09690201236300426,6.0,,,,,,,,,,,,,,,,
246,1_2_1_LE07_013030_20160525,140.4399,12.0,63.393753000000004,0.977941145456293,1.0129819,42515.64955243055,1464190521330.0,0.8166035537430818,14017,21.845400522829408,13.333565423101561,13.829679910406707,8.161605515391217,1.8597253186266407,26.60624694824219,42515.75,1464199200000,2.3799999237060554,LE07_013030_20160525,15.205,0.19552493447128422,1.5,0.0,15.28,6.0,,,,,,,,,,,,,,,,,15.28,15.205,0.19552493447128436,6.0,,,,,,,,,,,,,,,,
247,1_2_1_LE07_013030_20160610,136.95256,39.0,64.77526,0.977941145456293,1.0153235999999999,42531.64960729166,1465572926070.0,0.2710166035537431,4652,14.930632102956727,11.764297994581243,12.160541383939119,6.403358698365966,0.7782053136054501,25.22473907470703,42531.75,1465581600000,1.6299999237060547,LE07_013030_20160610,16.649,0.4149551515257737,1.52,0.07888106377466156,16.700000000000003,10.0,16.93,16.93,,1.0,16.95,16.95,,1.0,15.52,15.52,,1.0,16.95,16.95,,1.0,16.67,16.69,0.03098386676965881,6.0,,,,,,,,,,,,,,,,
