"date","dip_statistic","dip_pval","acr_statistic","acr_pval"
2000-08-25,0.0365307357285759,0,0.0731358058388671,0
2000-09-10,0.0119061438849645,0,0.0242287794339716,0
2000-09-18,0.0320987301027393,0,0.0642933531671477,0
2000-10-12,0.0160812031887968,0,0.0321594693814426,0
2000-10-20,0.0230598139589145,0,0.0459752574805655,0
2000-10-28,0.0129234948365058,0,0.0266739662456955,0
2000-11-29,0.0199468589262888,0,0.0398608170191645,0
2001-05-08,0.0190473359116293,0,0.0378403261082116,0
2001-06-01,0.0123904772203097,0,0.0245607761699876,0
2001-06-09,0.029035045526146,0,0.0580061223529387,0
2001-06-25,0.0245684377460294,0,0.049278222647968,0
2001-07-19,0.00867020290956011,0,0.0175524628305404,0
2001-07-27,0.00997597883227345,0,0.0199830525977628,0
