system:index,OBJECTID,azimuth,cloud_cover,count,elev,emiss,esd,l_exceltime,landsat_time,lat_dd,lon_dd,max,mean,median,min,name,p25,p75,pct_lake,pixel_count,site,skew,stdDev,sza,uid,v_exceltime,vapor_time,water_column,.geo
2_1_LC08_013030_20180710_00000000000000000005,6,134.11928,24.28,63,62.864323,0.9779510005476145,1.016655,43291.647242708335,1531236721770,43.39601667,-72.07893333,22.749436578467463,15.468423779887246,14.612989678269662,11.672163514601673,North Sunapee Harbor near-shore,13.358997934000081,17.52567243738647,0.6805837563451776,16089,Coffin,0.72369413570583,3.072974325666148,27.135677337646484,1_LC08_013030_20180710,43291.75,1531245600000,2.4600000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.08090822927883,43.39534121377586],[-72.0805001299896,43.394863449634194],[-72.07960661229343,43.394471772804756],[-72.07856568088195,43.39441849312916],[-72.0776054247335,43.39471528525021],[-72.07693625888795,43.39529711571328],[-72.07670482447406,43.396036490541455],[-72.0767529452175,43.396174079765686],[-72.07875227259694,43.39617407135951],[-72.07875227259694,43.39590457677427],[-72.07983025093789,43.39590457677427],[-72.07983025093789,43.39563508218904],[-72.08090822927883,43.39563508218904],[-72.08090822927883,43.39534121377586]]]}"
2_1_LC08_013030_20180710_00000000000000000006,7,134.11928,24.28,61,62.864323,0.9779510005476145,1.016655,43291.647242708335,1531236721770,43.3448,-72.04368333,23.441636065625932,22.03662537424674,21.962588455042898,21.495854345923938,South of the Fells near-shore,21.744182092393274,22.26619292495269,0.6805837563451776,16089,Fichter,0.8682516375565846,0.4449705125013346,27.135677337646484,1_LC08_013030_20180710,43291.75,1531245600000,2.4600000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.04479595485724,43.34618028612594],[-72.0454899458251,43.34574757128844],[-72.04588588879373,43.34504611216201],[-72.04579945956394,43.34429046384715],[-72.04524961413046,43.34364621495343],[-72.0443568506278,43.34325453810841],[-72.04344848193105,43.34320800485175],[-72.04344848193105,43.34335313265328],[-72.04317898734581,43.34335313265328],[-72.04317898734581,43.34362262723852],[-72.04344848193105,43.34362262723852],[-72.04344848193105,43.34416161640899],[-72.04398747110153,43.34416161640899],[-72.04398747110153,43.34470060557946],[-72.04425696568676,43.34470060557946],[-72.04425696568676,43.345239594749934],[-72.044526460272,43.34523959474994],[-72.044526460272,43.345778583920406],[-72.04479595485724,43.345778583920406],[-72.04479595485724,43.34618028612594]]]}"
2_1_LC08_013030_20180710_00000000000000000007,8,134.11928,24.28,128,62.864323,0.9779510005476145,1.016655,43291.647242708335,1531236721770,43.3913333,-72.0576666,20.97535873937596,19.415503961136373,19.410003699098436,17.828326029005392,Primary (GLEON) buoy (summer location),18.5953991926194,20.176625047846972,0.6805837563451776,16089,loon island,-0.12138944875573658,0.8983088583691068,27.135677337646484,1_LC08_013030_20180710,43291.75,1531245600000,2.4600000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.05766840685355,43.39295378291098],[-72.05868290316921,43.39277630079333],[-72.05947507230765,43.39228274985908],[-72.05987131912691,43.391581290721405],[-72.05978482352015,43.3908256424092],[-72.05923455606661,43.39018139352982],[-72.05834110739808,43.389789716698964],[-72.05730025640054,43.38973643702313],[-72.05634007443469,43.39003322914535],[-72.0556709602871,43.39061505961],[-72.05543954375695,43.39135443443888],[-72.05569655138777,43.392089332732034],[-72.05638567812433,43.39265870909617],[-72.0573559137366,43.392937786830515],[-72.05766840685355,43.39295378291098]]]}"
2_1_LC08_013030_20180710_00000000000000000008,9,134.11928,24.28,13,62.864323,0.9779510005476145,1.016655,43291.647242708335,1531236721770,43.38565,-72.0812139,27.301404625678266,24.826636217023893,25.089412484408005,23.45131585398732,Primary (GLEON) buoy (winter location),24.300758006240063,25.45206953260433,0.6805837563451776,16089,harbor,0.5200189816830387,1.1710149101381413,27.135677337646484,1_LC08_013030_20180710,43291.75,1531245600000,2.4600000381469727,"{""type"":""Polygon"",""coordinates"":[[[-72.07907619147697,43.38593327729933],[-72.07924078990159,43.386403978892254],[-72.07983025093789,43.38689105518269],[-72.07983025093789,43.386741760876255],[-72.08036924010837,43.386741760876255],[-72.08036924010837,43.38620277170578],[-72.07983025093789,43.38620277170578],[-72.07983025093789,43.38593327712054],[-72.07907619147697,43.38593327729933]]]}"
1_2_1_LE07_013030_20180718_00000000000000000000,1,135.09932,2.0,70,61.687214,0.9779510005476145,1.0162793,43299.64719675926,1531927917800,43.4288,-72.0675,23.373660096125946,21.86532769666263,21.83533000790993,21.318239091526078,Georges Mills buoy,21.83533000790993,21.83533000790993,0.6405668358714044,15143,georges mills,1.1391788800840894,0.4186357131588826,28.312786102294922,1_LE07_013030_20180718,43299.75,1531936800000,0.7199999809265137,"{""type"":""Polygon"",""coordinates"":[[[-72.06662501626134,43.427358524157384],[-72.06617157036814,43.42749859618633],[-72.06550204218924,43.42808042663828],[-72.06527048243436,43.42881980146157],[-72.06544618561688,43.429321905813644],[-72.06608602709086,43.42932190534353],[-72.06608602709086,43.42959139992875],[-72.0663555216761,43.42959139992875],[-72.0663555216761,43.429860894513986],[-72.06689451084657,43.429860894513986],[-72.06689451084657,43.42959139992875],[-72.0671640054318,43.42959139992875],[-72.0671640054318,43.429860894513986],[-72.06797248918751,43.429860894513986],[-72.06797248918751,43.42878291617305],[-72.06824198377275,43.428782916173056],[-72.06824198377275,43.428243927002576],[-72.06770299460229,43.428243927002576],[-72.06770299460229,43.427704937832104],[-72.0671640054318,43.427704937832104],[-72.0671640054318,43.427435443246864],[-72.06662501626134,43.427435443246864],[-72.06662501626134,43.427358524157384]]]}"
1_2_1_LE07_013030_20180718_00000000000000000001,2,135.09932,2.0,70,61.687214,0.9779510005476145,1.0162793,43299.64719675926,1531927917800,43.4096,-72.033,21.83533000790993,21.28521660115891,21.318239091526078,20.798914942752866,Herrick Cove buoy,21.318239091526078,21.318239091526078,0.6405668358714044,15143,herrick cove,-0.017004305136438806,0.2948218754282217,28.312786102294922,1_LE07_013030_20180718,43299.75,1531936800000,0.7199999809265137,"{""type"":""Polygon"",""coordinates"":[[[-72.03320768769208,43.411182053849274],[-72.0340154620288,43.411040778705384],[-72.03480787000979,43.410547227764916],[-72.03520423628561,43.40984576862282],[-72.03515082616006,43.40937930672144],[-72.03482465520351,43.409379306036065],[-72.03482465520351,43.409109811450826],[-72.03320768769208,43.409109811450826],[-72.03320768769208,43.40884031686559],[-72.03186021476591,43.40884031686559],[-72.03186021476591,43.409109811450826],[-72.03159072018067,43.409109811450826],[-72.03159072018067,43.40937930603606],[-72.03132122559543,43.409379306036065],[-72.03132122559543,43.41018778979177],[-72.03239920393638,43.41018778979177],[-72.03239920393638,43.41045728437701],[-72.03293819310686,43.41045728437701],[-72.03293819310686,43.41099627354748],[-72.03320768769208,43.41099627354748],[-72.03320768769208,43.411182053849274]]]}"
1_2_1_LE07_013030_20180718_00000000000000000002,3,135.09932,2.0,119,61.687214,0.9779510005476145,1.0162793,43299.64719675926,1531927917800,43.3436,-72.0595,23.373660096125946,20.675573004653103,20.798914942752866,20.277327173566707,State Beach buoy,20.277327173566707,20.798914942752866,0.6405668358714044,15143,state beach,2.0337682568312703,0.5486996565704809,28.312786102294922,1_LE07_013030_20180718,43299.75,1531936800000,0.7199999809265137,"{""type"":""Polygon"",""coordinates"":[[[-72.05950109738653,43.34521910613385],[-72.06051479561432,43.34504162402367],[-72.06096562997138,43.34476051792352],[-72.06096562997138,43.34416161640899],[-72.06123512455662,43.34416161640899],[-72.06123512455662,43.343083638068045],[-72.06096562997138,43.343083638068045],[-72.06096562997138,43.342402675324635],[-72.06017326878364,43.34205503992512],[-72.05913323652076,43.34200176024698],[-72.05817380984517,43.34229855238104],[-72.05750522206037,43.342880382861864],[-72.0572739876134,43.34361975769784],[-72.05753079311037,43.34435465598315],[-72.05821937775514,43.34492403233099],[-72.05918885010426,43.345203110054086],[-72.05950109738653,43.34521910613385]]]}"
1_2_1_LE07_013030_20180718_00000000000000000003,4,135.09932,2.0,68,61.687214,0.9779510005476145,1.0162793,43299.64719675926,1531927917800,43.40996667,-72.03683333,22.350279220921976,21.321419528845034,21.318239091526078,20.798914942752866,Herrick Cove near-shore,21.318239091526078,21.318239091526078,0.6405668358714044,15143,Midge,2.4192916961206405,0.18675097253419162,28.312786102294922,1_LE07_013030_20180718,43299.75,1531936800000,0.7199999809265137,"{""type"":""Polygon"",""coordinates"":[[[-72.03683548673186,43.411588366213316],[-72.03785029513612,43.41141088409275],[-72.03864270795927,43.41091733315216],[-72.0387503825392,43.4107267817082],[-72.0377890956411,43.41072677896224],[-72.0377890956411,43.41045728437701],[-72.0369806118854,43.41045728437701],[-72.0369806118854,43.41018778979177],[-72.03671111730016,43.41018778979177],[-72.03671111730016,43.409918295206545],[-72.03617212812968,43.409918295206545],[-72.03617212812968,43.4096488006213],[-72.03563313895921,43.4096488006213],[-72.03563313895921,43.409379306036065],[-72.03482465520351,43.409379306036065],[-72.03482465520351,43.40929043264027],[-72.03460593800615,43.40998901772712],[-72.03486302468049,43.41072391602334],[-72.03555236339955,43.41129329239383],[-72.03652289748239,43.41157237013257],[-72.03683548673186,43.411588366213316]]]}"
1_2_1_LE07_013030_20180718_00000000000000000004,5,135.09932,2.0,35,61.687214,0.9779510005476145,1.0162793,43299.64719675926,1531927917800,43.3234,-72.04105,23.373660096125946,20.603438915422387,20.798914942752866,19.753475958394933,Newbury near-shore,20.277327173566707,20.798914942752866,0.6405668358714044,15143,Newbury,2.0023671452288543,0.7435032609247204,28.312786102294922,1_LE07_013030_20180718,43299.75,1531936800000,0.7199999809265137,"{""type"":""Polygon"",""coordinates"":[[[-72.03882593671928,43.32341053472706],[-72.03882296810697,43.32342002994098],[-72.03907968821694,43.324154928222974],[-72.03976804386703,43.32472430456392],[-72.04073719379252,43.325003382282276],[-72.04102303066394,43.3250180302906],[-72.04102303066394,43.32448851168676],[-72.0407535360787,43.324488511686766],[-72.0407535360787,43.32341053334583],[-72.04048404149346,43.32341053334583],[-72.04048404149346,43.323141038760596],[-72.04021454690822,43.323141038760596],[-72.04021454690822,43.32341053334583],[-72.03882593671928,43.32341053472706]]]}"
1_2_1_LE07_013030_20180718_00000000000000000005,6,135.09932,2.0,70,61.687214,0.9779510005476145,1.0162793,43299.64719675926,1531927917800,43.39601667,-72.07893333,22.350279220921976,20.846419463205937,20.798914942752866,20.277327173566707,North Sunapee Harbor near-shore,20.798914942752866,20.798914942752866,0.6405668358714044,15143,Coffin,0.7614707369189444,0.4353513655519894,28.312786102294922,1_LE07_013030_20180718,43299.75,1531936800000,0.7199999809265137,"{""type"":""Polygon"",""coordinates"":[[[-72.08090822927883,43.39534121377586],[-72.0805001299896,43.394863449634194],[-72.07960661229343,43.394471772804756],[-72.07856568088195,43.39441849312916],[-72.0776054247335,43.39471528525021],[-72.07693625888795,43.39529711571328],[-72.07670482447406,43.396036490541455],[-72.0767529452175,43.396174079765686],[-72.07875227259694,43.39617407135951],[-72.07875227259694,43.39590457677427],[-72.07983025093789,43.39590457677427],[-72.07983025093789,43.39563508218904],[-72.08090822927883,43.39563508218904],[-72.08090822927883,43.39534121377586]]]}"
1_2_1_LE07_013030_20180718_00000000000000000006,7,135.09932,2.0,61,61.687214,0.9779510005476145,1.0162793,43299.64719675926,1531927917800,43.3448,-72.04368333,20.798914942752866,20.34813020231232,20.277327173566707,19.22730033748201,South of the Fells near-shore,20.277327173566707,20.277327173566707,0.6405668358714044,15143,Fichter,-0.6286142371897143,0.3720293659836447,28.312786102294922,1_LE07_013030_20180718,43299.75,1531936800000,0.7199999809265137,"{""type"":""Polygon"",""coordinates"":[[[-72.04479595485724,43.34618028612594],[-72.0454899458251,43.34574757128844],[-72.04588588879373,43.34504611216201],[-72.04579945956394,43.34429046384715],[-72.04524961413046,43.34364621495343],[-72.0443568506278,43.34325453810841],[-72.04344848193105,43.34320800485175],[-72.04344848193105,43.34335313265328],[-72.04317898734581,43.34335313265328],[-72.04317898734581,43.34362262723852],[-72.04344848193105,43.34362262723852],[-72.04344848193105,43.34416161640899],[-72.04398747110153,43.34416161640899],[-72.04398747110153,43.34470060557946],[-72.04425696568676,43.34470060557946],[-72.04425696568676,43.345239594749934],[-72.044526460272,43.34523959474994],[-72.044526460272,43.345778583920406],[-72.04479595485724,43.345778583920406],[-72.04479595485724,43.34618028612594]]]}"
1_2_1_LE07_013030_20180718_00000000000000000007,8,135.09932,2.0,132,61.687214,0.9779510005476145,1.0162793,43299.64719675926,1531927917800,43.3913333,-72.0576666,21.318239091526078,20.935743783914365,20.798914942752866,20.277327173566707,Primary (GLEON) buoy (summer location),20.798914942752866,21.318239091526078,0.6405668358714044,15143,loon island,0.35818327298688796,0.26078622001701224,28.312786102294922,1_LE07_013030_20180718,43299.75,1531936800000,0.7199999809265137,"{""type"":""Polygon"",""coordinates"":[[[-72.05766840685355,43.39295378291098],[-72.05868290316921,43.39277630079333],[-72.05947507230765,43.39228274985908],[-72.05987131912691,43.391581290721405],[-72.05978482352015,43.3908256424092],[-72.05923455606661,43.39018139352982],[-72.05834110739808,43.389789716698964],[-72.05730025640054,43.38973643702313],[-72.05634007443469,43.39003322914535],[-72.0556709602871,43.39061505961],[-72.05543954375695,43.39135443443888],[-72.05569655138777,43.392089332732034],[-72.05638567812433,43.39265870909617],[-72.0573559137366,43.392937786830515],[-72.05766840685355,43.39295378291098]]]}"
1_2_1_LE07_013030_20180718_00000000000000000008,9,135.09932,2.0,13,61.687214,0.9779510005476145,1.0162793,43299.64719675926,1531927917800,43.38565,-72.0812139,25.89573536215945,21.851231342333612,21.83533000790993,21.318239091526078,Primary (GLEON) buoy (winter location),21.318239091526078,22.350279220921976,0.6405668358714044,15143,harbor,1.5610547946705413,1.4193708958648814,28.312786102294922,1_LE07_013030_20180718,43299.75,1531936800000,0.7199999809265137,"{""type"":""Polygon"",""coordinates"":[[[-72.07907619147697,43.38593327729933],[-72.07924078990159,43.386403978892254],[-72.07983025093789,43.38689105518269],[-72.07983025093789,43.386741760876255],[-72.08036924010837,43.386741760876255],[-72.08036924010837,43.38620277170578],[-72.07983025093789,43.38620277170578],[-72.07983025093789,43.38593327712054],[-72.07907619147697,43.38593327729933]]]}"
1_2_1_LE07_013030_20180819_00000000000000000000,1,143.74307,19.0,54,54.70634,0.9779510005476145,1.0120151,43331.646790162034,1534692682670,43.4288,-72.0675,21.321216120986012,20.494635910996944,20.279573315321024,19.755390229039374,Georges Mills buoy,20.279573315321024,20.801515260553288,0.6184856175972927,14621,georges mills,0.30463573469073163,0.39828782715237904,35.29365921020508,1_LE07_013030_20180819,43331.75,1534701600000,1.5,"{""type"":""Polygon"",""coordinates"":[[[-72.06662501626134,43.427358524157384],[-72.06617157036814,43.42749859618633],[-72.06550204218924,43.42808042663828],[-72.06527048243436,43.42881980146157],[-72.06544618561688,43.429321905813644],[-72.06608602709086,43.42932190534353],[-72.06608602709086,43.42959139992875],[-72.0663555216761,43.42959139992875],[-72.0663555216761,43.429860894513986],[-72.06689451084657,43.429860894513986],[-72.06689451084657,43.42959139992875],[-72.0671640054318,43.42959139992875],[-72.0671640054318,43.429860894513986],[-72.06797248918751,43.429860894513986],[-72.06797248918751,43.42878291617305],[-72.06824198377275,43.428782916173056],[-72.06824198377275,43.428243927002576],[-72.06770299460229,43.428243927002576],[-72.06770299460229,43.427704937832104],[-72.0671640054318,43.427704937832104],[-72.0671640054318,43.427435443246864],[-72.06662501626134,43.427435443246864],[-72.06662501626134,43.427358524157384]]]}"
