"","collection","filter","month","variable","All missions","LS 5","LS 7","LS 8"
"48","2","freeze","05","bias",1.12,1.64,0.86,2.04
"49","2","IQR","05","bias",1.23,1.54,1,1.95
"50","2","none","05","bias",1.11,1.69,0.91,1.43
"51","1","none","06","n_obs",15,4,6,5
"52","2","cloud","06","n_obs",14,4,6,4
"53","2","freeze","06","n_obs",15,4,7,4
"54","2","IQR","06","n_obs",15,4,7,4
"55","2","none","06","n_obs",15,4,7,4
"56","1","none","06","mae",0.85,0.77,0.65,1.16
"57","2","cloud","06","mae",1.15,0.67,1.85,0.56
"58","2","freeze","06","mae",1.24,0.78,1.81,0.69
"59","2","IQR","06","mae",1.17,0.71,1.76,0.62
"60","2","none","06","mae",1.24,0.79,1.81,0.69
"61","1","none","06","rmse",1,0.88,0.73,1.32
"62","2","cloud","06","rmse",2.04,0.92,2.97,0.66
"63","2","freeze","06","rmse",1.98,1.03,2.72,0.79
"64","2","IQR","06","rmse",1.97,0.98,2.73,0.73
"65","2","none","06","rmse",1.97,1.03,2.72,0.79
"66","1","none","06","bias",0.72,0.77,0.32,1.16
"67","2","cloud","06","bias",0.13,0.6,-0.47,0.56
"68","2","freeze","06","bias",0.34,0.78,-0.1,0.69
"69","2","IQR","06","bias",0.27,0.71,-0.18,0.62
"70","2","none","06","bias",0.35,0.79,-0.09,0.69
"71","1","none","07","n_obs",17,2,6,9
"72","2","cloud","07","n_obs",23,3,13,7
"73","2","freeze","07","n_obs",29,4,16,9
"74","2","IQR","07","n_obs",29,4,16,9
"75","2","none","07","n_obs",29,4,16,9
"76","2","range","07","n_obs",10,1,2,7
"77","1","none","07","mae",0.68,0.55,0.25,1
"78","2","cloud","07","mae",0.41,0.37,0.48,0.3
"79","2","freeze","07","mae",0.42,0.32,0.48,0.37
"80","2","IQR","07","mae",0.41,0.32,0.46,0.35
"81","2","none","07","mae",0.42,0.32,0.47,0.37
"82","2","range","07","mae",0.39,0.73,0.24,0.38
"83","1","none","07","rmse",1.17,0.58,0.35,1.57
"84","2","cloud","07","rmse",0.54,0.51,0.63,0.32
"85","2","freeze","07","rmse",0.54,0.42,0.61,0.44
"86","2","IQR","07","rmse",0.52,0.45,0.59,0.41
"87","2","none","07","rmse",0.54,0.44,0.61,0.44
"88","2","range","07","rmse",0.46,0.73,0.24,0.46
"89","1","none","07","bias",-0.16,-0.17,0.22,-0.4
"90","2","cloud","07","bias",0.13,-0.19,0.25,0.05
"91","2","freeze","07","bias",0.16,-0.1,0.23,0.16
"92","2","IQR","07","bias",0.11,-0.17,0.17,0.1
"93","2","none","07","bias",0.15,-0.11,0.22,0.15
"94","2","range","07","bias",0.06,-0.73,-0.24,0.25
"95","1","none","08","n_obs",15,3,9,3
"96","2","cloud","08","n_obs",23,3,14,6
"97","2","freeze","08","n_obs",29,6,16,7
"98","2","IQR","08","n_obs",28,6,16,6
"99","2","none","08","n_obs",29,6,16,7
"100","2","range","08","n_obs",11,2,4,5
"101","1","none","08","mae",0.9,1.38,0.67,1.08
"102","2","cloud","08","mae",0.57,0.18,0.54,0.84
"103","2","freeze","08","mae",0.8,1.58,0.53,0.73
"104","2","IQR","08","mae",0.74,1.59,0.52,0.47
"105","2","none","08","mae",0.8,1.58,0.53,0.73
"106","2","range","08","mae",0.59,1.15,0.48,0.46
"107","1","none","08","rmse",1.26,1.75,1.03,1.27
"108","2","cloud","08","rmse",0.77,0.22,0.64,1.13
"109","2","freeze","08","rmse",1.44,2.78,0.65,1.01
"110","2","IQR","08","rmse",1.41,2.82,0.64,0.51
"111","2","none","08","rmse",1.44,2.77,0.65,1.01
"112","2","range","08","rmse",0.84,1.57,0.63,0.51
"113","1","none","08","bias",-0.44,-1.12,0,-1.08
"114","2","cloud","08","bias",-0.14,0.05,-0.03,-0.48
"115","2","freeze","08","bias",-0.35,-1.38,0.06,-0.42
"116","2","IQR","08","bias",-0.34,-1.44,0,-0.15
"117","2","none","08","bias",-0.36,-1.38,0.04,-0.43
"118","2","range","08","bias",-0.43,-1.06,-0.48,-0.14
"119","1","none","09","n_obs",23,6,11,6
"120","2","cloud","09","n_obs",23,4,13,6
"121","2","freeze","09","n_obs",32,6,18,8
"122","2","IQR","09","n_obs",30,5,18,7
"123","2","none","09","n_obs",32,6,18,8
"124","2","range","09","n_obs",20,4,9,7
"125","1","none","09","mae",1,1.68,0.58,1.07
"126","2","cloud","09","mae",0.73,0.95,0.67,0.71
"127","2","freeze","09","mae",1.08,1.64,0.97,0.88
"128","2","IQR","09","mae",0.89,0.82,0.99,0.67
"129","2","none","09","mae",1.07,1.63,0.97,0.87
"130","2","range","09","mae",0.6,0.78,0.46,0.68
"131","1","none","09","rmse",1.45,2.26,0.82,1.3
"132","2","cloud","09","rmse",0.93,1.13,0.83,0.99
"133","2","freeze","09","rmse",1.86,2.54,1.83,1.22
"134","2","IQR","09","rmse",1.57,0.98,1.86,0.94
"135","2","none","09","rmse",1.85,2.53,1.82,1.21
"136","2","range","09","rmse",0.84,1,0.58,0.99
"137","1","none","09","bias",-0.52,-1.3,-0.24,-0.25
"138","2","cloud","09","bias",-0.2,-0.48,-0.42,0.45
"139","2","freeze","09","bias",-0.48,-1,-0.58,0.12
"140","2","IQR","09","bias",-0.32,-0.11,-0.65,0.39
"141","2","none","09","bias",-0.47,-0.98,-0.57,0.13
"142","2","range","09","bias",0.09,-0.2,-0.1,0.5
"143","1","none","10","n_obs",20,5,9,6
"144","2","cloud","10","n_obs",14,4,7,3
"145","2","freeze","10","n_obs",20,5,10,5
"146","2","IQR","10","n_obs",20,5,10,5
"147","2","none","10","n_obs",21,5,10,6
"148","2","range","10","n_obs",17,4,10,3
"149","1","none","10","mae",0.73,0.63,0.5,1.15
"150","2","cloud","10","mae",0.43,0.67,0.33,0.35
"151","2","freeze","10","mae",0.58,0.58,0.4,0.93
"152","2","IQR","10","mae",0.55,0.57,0.33,0.98
"153","2","none","10","mae",0.62,0.6,0.44,0.92
"154","2","range","10","mae",0.61,0.61,0.45,1.13
"155","1","none","10","rmse",0.91,0.71,0.66,1.31
"156","2","cloud","10","rmse",0.52,0.77,0.36,0.37
"157","2","freeze","10","rmse",0.9,0.77,0.49,1.48
"158","2","IQR","10","rmse",0.9,0.73,0.42,1.54
"159","2","none","10","rmse",0.91,0.79,0.52,1.39
"160","2","range","10","rmse",0.94,0.83,0.53,1.77
"161","1","none","10","bias",-0.02,-0.11,0.38,-0.55
"162","2","cloud","10","bias",-0.08,-0.05,0.01,-0.35
"163","2","freeze","10","bias",0.05,0.31,0.37,-0.83
"164","2","IQR","10","bias",-0.04,0.21,0.28,-0.92
"165","2","none","10","bias",0.04,0.35,0.41,-0.82
"166","2","range","10","bias",0.23,0.61,0.43,-0.91
"167","1","none","11","n_obs",19,2,12,5
"168","2","cloud","11","n_obs",10,2,4,4
"169","2","freeze","11","n_obs",11,2,5,4
"170","2","IQR","11","n_obs",11,2,5,4
"171","2","none","11","n_obs",15,2,8,5
"172","2","range","11","n_obs",10,2,4,4
"173","1","none","11","mae",1,0.66,1.25,0.54
"174","2","cloud","11","mae",0.55,0.35,0.38,0.81
"175","2","freeze","11","mae",0.66,0.5,1.08,0.21
"176","2","IQR","11","mae",0.66,0.39,1.06,0.3
"177","2","none","11","mae",0.76,0.58,0.99,0.47
"178","2","range","11","mae",0.7,0.58,1.29,0.17
"179","1","none","11","rmse",1.48,0.66,1.77,0.73
"180","2","cloud","11","rmse",0.6,0.37,0.4,0.82
"181","2","freeze","11","rmse",1.23,0.62,1.77,0.24
"182","2","IQR","11","rmse",1.25,0.54,1.8,0.35
"183","2","none","11","rmse",1.2,0.69,1.48,0.77
"184","2","range","11","rmse",1.28,0.69,1.95,0.2
"185","1","none","11","bias",-0.62,0.03,-0.95,-0.09
"186","2","cloud","11","bias",-0.44,-0.12,-0.24,-0.81
"187","2","freeze","11","bias",-0.19,0.5,-0.47,-0.2
"188","2","IQR","11","bias",-0.3,0.39,-0.58,-0.3
"189","2","none","11","bias",-0.17,0.58,-0.2,-0.43
"190","2","range","11","bias",-0.17,0.58,-0.58,-0.12
