"date","unimodal","tot_pix","perc_lake"
2019-10-09,"unimodal",14356,60.73
2019-11-02,"unimodal",17193,72.73
2019-11-26,"unimodal",10632,44.97
2020-05-20,"unimodal",14633,61.9
2020-06-13,"not unimodal",8447,35.73
2020-07-15,"unimodal",10915,46.17
2020-07-31,"unimodal",17171,72.64
2020-09-17,"unimodal",15634,66.13
2020-09-25,"unimodal",14322,60.58
2020-10-03,"unimodal",11430,48.35
2020-10-11,"unimodal",13986,59.16
2002-11-27,NA,NA,NA
