,system:index,azimuth,cloud_cover,elev,emiss,esd,l_exceltime,landsat_time,pct_lake,pixel_count,surface_temp_count,surface_temp_max,surface_temp_mean,surface_temp_median,surface_temp_min,surface_temp_p25,surface_temp_p75,surface_temp_skew,surface_temp_stdDev,sza,v_exceltime,vapor_time,water_column,scene,temp_avg,t_stdev,depth_avg,d_stdev,temp_med,insitu_count,HerrickCoveSouth_median,HerrickCoveSouth_mean,HerrickCoveSouth_std,HerrickCoveSouth_count,Newbury_median,Newbury_mean,Newbury_std,Newbury_count,NorthSunapeeHarbor_median,NorthSunapeeHarbor_mean,NorthSunapeeHarbor_std,NorthSunapeeHarbor_count,SouthOfTheFells_median,SouthOfTheFells_mean,SouthOfTheFells_std,SouthOfTheFells_count,loon_median,loon_mean,loon_std,loon_count,harbor_median,harbor_mean,harbor_std,harbor_count,GeorgesMills_median,GeorgesMills_mean,GeorgesMills_std,GeorgesMills_count,HerrickCove_median,HerrickCove_mean,HerrickCove_std,HerrickCove_count,StateBeach_median,StateBeach_mean,StateBeach_std,StateBeach_count
199,1_1_2_1_LT05_013030_20111011,156.32689,1.0,36.93492,0.9779510005476144,0.9983226999999999,40827.63954097222,1318346456340.0,0.7272842639593908,17193,18138,17.030193312829574,13.929294140281154,13.784559635092931,13.31348673266458,13.784559635092931,14.253733719882224,1.1119850564102154,0.30603270925384585,53.06507873535156,40827.75,1318356000000,1.1399993896484375,LT05_013030_20111011,17.07,0.28206382256503737,0.5,0.0,17.22,6.0,,,,,,,,,,,,,,,,,17.22,17.07,0.2820638225650366,6.0,,,,,,,,,,,,,,,,
200,1_2_1_LE07_013030_20111104,161.45084,16.0,29.457753999999998,0.9779510005476144,0.9917652,40851.64327418982,1320420378890.0,0.6189086294416244,14631,15428,8.163774779550284,7.18353238783179,7.58041101820874,-4.184730250012877,6.993837239591514,7.58041101820874,-3.933965549714027,1.0859024792558392,60.54224586486816,40851.75,1320429600000,0.35000000000000003,LE07_013030_20111104,10.253333333333332,0.025033311140690916,1.5,0.0,10.254999999999999,6.0,,,,,,,,,,,,,,,,,,,,,10.254999999999999,10.253333333333332,0.025033311140691194,6.0,,,,,,,,,,,,
201,1_1_2_1_LT05_013030_20111112,160.39133,32.0,26.826258000000003,0.9779510005476144,0.9898324000000001,40859.639191319446,1321111226130.0,0.7255922165820643,17153,18093,6.504293417143121,5.562327869711,5.496303907998834,0.8374392192609802,5.496303907998834,6.0014951567986845,-2.406378291198064,0.6573708468915098,63.17374229431152,40859.75,1321120800000,1.0600006103515625,LT05_013030_20111112,9.405000000000001,0.028106938645109793,1.5,0.0,9.395,6.0,,,,,,,,,,,,,,,,,,,,,9.395,9.405000000000001,0.02810693864510985,6.0,,,,,,,,,,,,
202,1_2_1_LE07_013030_20120615,132.6231,0.0,63.820877,0.9779510005476144,1.0158358,41075.64397025463,1339774039030.0,0.6354060913705584,15021,15857,24.89620908632964,17.599642638743962,17.63506540133695,16.02008444855211,17.099204734148426,17.63506540133695,2.304367806069201,0.7042706708277915,26.17912292480469,41075.75,1339783200000,1.1899993896484375,LE07_013030_20120615,20.380000000000003,0.5737014322217908,0.82,0.42110964526276684,20.615000000000002,10.0,19.38,19.38,,1.0,20.34,20.34,,1.0,19.99,19.99,,1.0,19.5,19.5,,1.0,20.71,20.765,0.17014699527173466,6.0,,,,,,,,,,,,,,,,
203,1_2_1_LE07_013030_20120818,142.40648000000002,36.0,54.526978,0.9779510005476144,1.0121038,41139.64448888889,1345303683840.0,0.4744500846023689,11216,11749,24.898946468567658,19.99484344346006,20.279459938330323,6.993277562895901,19.75529467724384,20.279459938330323,-3.0406398113694917,0.9180826905828148,35.4730224609375,41139.75,1345312800000,1.470001220703125,LE07_013030_20120818,24.589999999999996,0.27471197037381967,0.82,0.42110964526276684,24.71,10.0,24.89,24.89,,1.0,24.37,24.37,,1.0,24.34,24.34,,1.0,23.98,23.98,,1.0,24.74,24.72,0.030983866769657965,6.0,,,,,,,,,,,,,,,,
204,1_2_1_LE07_013030_20120903,147.98201,1.0,49.956173,0.9779510005476144,1.0085604,41155.644606134265,1346686093970.0,0.6497038917089678,15359,16195,22.35787346344397,18.924039245986965,18.701300193816873,18.16987059456191,18.701300193816873,19.230389222258985,1.624443424713509,0.3981173196648553,40.04382705688477,41155.75,1346695200000,1.9899993896484376,LE07_013030_20120903,22.680999999999994,0.3357396478092972,0.82,0.42110964526276684,22.81,10.0,22.51,22.51,,1.0,22.83,22.83,,1.0,22.630000000000006,22.630000000000006,,1.0,21.79,21.79,,1.0,22.85,22.841666666666665,0.04833908011812564,6.0,,,,,,,,,,,,,,,,
205,1_2_1_LE07_013030_20120919,153.18295,9.0,44.786755,0.9779510005476144,1.0043688,41171.644696296295,1348068501760.0,0.6473350253807106,15303,16157,19.75312554741381,16.47896489671301,16.56054876807212,8.743955806734407,16.56054876807212,16.56054876807212,-4.076165618824668,0.6474800662136385,45.2132453918457,41171.75,1348077600000,0.479998779296875,LE07_013030_20120919,19.389999999999997,0.3253032773001559,0.82,0.42110964526276684,19.52,10.0,19.54,19.54,,1.0,18.88,18.88,,1.0,19.67,19.67,,1.0,18.69,18.69,,1.0,19.52,19.52,0.0,6.0,,,,,,,,,,,,,,,,
207,1_2_1_LE07_013030_20121106,162.29822,0.0,28.780134000000004,0.9779510005476144,0.9910839,41219.64495046296,1352215723720.0,0.6458544839255499,15268,16096,9.321015378508891,7.63096806147128,7.580397667836872,0.9384061168301412,7.580397667836872,8.163762192164294,-2.0737887514807216,0.9419988947372976,61.2198657989502,41219.75,1352224800000,0.5399993896484375,LE07_013030_20121106,11.148333333333335,0.01471960144387943,1.5,0.0,11.145,6.0,,,,,,,,,,,,,,,,,,,,,11.145,11.148333333333335,0.01471960144387965,6.0,,,,,,,,,,,,
208,1_2_1_LE07_013030_20121122,162.69163999999998,0.0,24.671196,0.9779510005476144,0.9875474,41235.64505775463,1353598132990.0,0.6486040609137056,15333,16197,6.993629142117651,5.1320291472480974,5.21412896617194,2.178546848666449,5.21412896617194,5.21412896617194,-0.9959467823603356,0.3885593867668173,65.32880401611328,41235.75,1353607200000,1.0399993896484376,LE07_013030_20121122,8.075000000000001,0.040373258476372895,1.5,0.0,8.075,6.0,,,,,,,,,,,,,,,,,,,,,8.075,8.075000000000001,0.04037325847637293,6.0,,,,,,,,,,,,
209,1_2_1_LE07_013030_20130501,143.24661,0.0,57.492230000000006,0.9779510005476144,1.0076833,41395.64500474537,1367422128410.0,0.6283417935702199,14854,15670,23.378795802286305,10.895902852703102,11.03323245278363,6.993193356068027,9.894203668070944,12.160647657954627,0.8774889487773639,1.912496034991645,32.50777053833008,41395.75,1367431200000,1.55,LE07_013030_20130501,9.366666666666669,0.015055453054181928,1.5,0.0,9.370000000000003,6.0,,,,,,,,,,,,,,,,,,,,,9.370000000000003,9.366666666666669,0.015055453054181692,6.0,,,,,,,,,,,,
